index	DOY	Dst
2015-01-11 00:00:00	11	-12
2015-01-11 01:00:00	11	-16
2015-01-11 02:00:00	11	-19
2015-01-11 03:00:00	11	-18
2015-01-11 04:00:00	11	-16
2015-01-11 05:00:00	11	-18
2015-01-11 06:00:00	11	-20
2015-01-11 07:00:00	11	-21
2015-01-11 08:00:00	11	-29
2015-01-11 09:00:00	11	-29
2015-01-11 10:00:00	11	-24
2015-01-11 11:00:00	11	-26
2015-01-11 12:00:00	11	-29
2015-01-11 13:00:00	11	-30
2015-01-11 14:00:00	11	-27
2015-01-11 15:00:00	11	-21
2015-01-11 16:00:00	11	-21
2015-01-11 17:00:00	11	-23
2015-01-11 18:00:00	11	-21
2015-01-11 19:00:00	11	-18
2015-01-11 20:00:00	11	-14
2015-01-11 21:00:00	11	-21
2015-01-11 22:00:00	11	-22
2015-01-11 23:00:00	11	-19
