2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000
 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314
  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
 2283  2283  2283  2283  2283  2283  2283  2283  2283  2283  2283  2283  2283  2283  2283  2283  2283  2283  2283  2283  2283  2283  2283  2283
 71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  51  51  51  51  51  51  51  51
 71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  99  99  50  52  52  52  52  52
  15   14   15   16   14   15   15   15   15   14   16   15   15   15   16   11   60   60   60   60   61   59   60   61
  15   14   15   16   14   15   15   15   15   14   16   15   15   15   16   11  999  999    3   16   37   36   35   36
   6.6    7.4    7.4    7.0    7.0    7.1    6.8    7.3    7.5    7.9    7.4    7.5    9.6   11.0   10.7   11.9   11.0    9.9    9.0    9.5    9.4   10.2   11.1   11.9
   6.2    7.0    7.1    6.5    6.7    6.5    6.5    6.9    7.2    7.6    6.9    7.3    9.4   10.6    9.2    9.4   10.2    8.9    8.5    8.2    8.8    8.9   10.0    9.9
 -23.3  -11.9  -10.2   -4.6   -0.9   -1.2   -5.7  -17.9  -18.3  -12.3   -5.5  -11.5  -25.8  -40.2  -20.1   -3.0   20.4   -3.1   -3.9   21.0   24.3    9.7   21.4   -6.7
 322.5  307.0  306.0  293.2  280.2  299.5  327.5  297.9  299.5  324.9  326.2  301.4  309.9  310.6  277.1  301.6  321.3  324.6  332.4  305.2  332.3  324.9  331.6  329.0
   4.5    4.1    4.1    2.6    1.2    3.2    5.5    3.1    3.4    6.0    5.7    3.7    5.4    5.3    1.1    4.9    7.4    7.2    7.5    4.4    7.1    7.1    8.2    8.4
  -3.5   -5.5   -5.7   -6.0   -6.6   -5.7   -3.5   -5.8   -6.0   -4.2   -3.8   -6.1   -6.5   -6.2   -8.6   -8.0   -6.0   -5.1   -3.9   -6.3   -3.7   -5.0   -4.4   -5.1
  -2.5   -1.4   -1.3   -0.5   -0.1   -0.1   -0.6   -2.1   -2.3   -1.6   -0.7   -1.5   -4.1   -6.9   -3.2   -0.5    3.5   -0.5   -0.6    2.9    3.6    1.5    3.7   -1.2
  -3.8   -5.6   -5.8   -6.0   -6.4   -5.4   -3.5   -6.1   -6.4   -4.5   -3.7   -6.1   -7.6   -8.5   -9.2   -7.7   -4.8   -5.1   -3.9   -5.8   -3.2   -4.8   -4.0   -5.2
  -2.1   -0.6   -0.2    0.9    1.8    1.8    0.8    0.5    0.6    0.5    1.1    1.4   -0.9   -3.8    0.2    2.1    5.0    0.7    0.2    3.8    4.0    2.0    4.1   -0.7
   0.5    0.2    0.2    0.1    0.1    0.3    0.1    0.2    0.1    0.1    0.3    0.4    1.0    0.5    0.6    0.8    1.1    0.8    0.3    0.5    0.5    0.4    0.6    0.5
   1.7    1.8    1.7    2.3    1.7    2.4    1.6    1.7    1.9    1.8    2.0    1.4    1.6    2.0    5.2    6.7    4.2    4.1    2.8    4.3    3.0    4.8    4.2    6.1
   1.0    1.0    0.7    1.1    1.0    1.3    0.5    1.3    1.3    0.8    1.3    0.7    0.8    0.9    2.3    2.0    1.5    1.6    1.2    1.6    2.0    1.0    1.5    2.3
   0.9    0.8    0.5    0.7    0.3    1.0    0.6    0.8    0.7    1.4    1.1    0.6    0.9    1.3    1.2    2.4    2.8    1.8    1.1    1.4    0.9    2.3    2.9    4.1
   1.0    1.3    1.5    1.9    1.3    1.8    1.4    0.7    1.1    0.9    1.0    1.0    1.0    1.3    4.5    5.9    2.8    3.4    2.2    3.7    2.0    4.1    2.6    3.8
   28063.    34800.    46688.    53831.    55803.    56455.    82437.    54062.    53119.    65208.    58233.    40087.    47855.    49454.    57248.    67054.  9999999.  9999999.   305090.   225826.   285020.   269482.   282649.   280295.
   5.4    6.7    8.9    9.9   10.9   10.3    9.0   10.2    9.9    9.4   11.2   13.3   14.4   18.3   21.0   18.1  999.9  999.9    7.4    6.8    7.7    8.2    8.2    7.8
  446.   443.   439.   444.   445.   435.   419.   433.   431.   416.   414.   422.   425.   436.   455.   449.  9999.  9999.   549.   565.   582.   583.   579.   571.
  -7.2   -7.2   -7.2   -7.0   -7.0   -7.2   -6.8   -7.9   -8.5   -7.7   -6.7   -7.8   -8.6   -8.4   -8.7   -9.9  999.9  999.9    2.0    2.3    4.7    4.3    4.6    5.0
   0.6    2.5    2.9    3.4    3.3    3.0    2.6    2.0    1.3    1.8    2.5    1.9   -0.0   -2.2   -0.7   -1.0  999.9  999.9    2.2    2.4    1.8    0.6    1.8   -1.2
 0.041  0.044  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  0.045  0.057  0.057  0.059  0.057
    4010.     6533.     6485.     6164.     5678.     9139.     8451.     5772.     7814.     6124.    13319.     3223.     2821.     4330.     5269.    18202.  9999999.  9999999.    71239.    24005.    14185.    14261.    33855.    32171.
