2005 2005 2005 2005 2005 2005 2005 2005 2005 2005 2005 2005 2005 2005 2005 2005 2005 2005 2005 2005 2005 2005 2005 2005
 167 167 167 167 167 167 167 167 167 167 167 167 167 167 167 167 167 167 167 167 167 167 167 167
  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
 2346  2346  2346  2346  2346  2346  2346  2346  2346  2346  2346  2346  2346  2346  2346  2346  2346  2346  2346  2346  2346  2346  2346  2346
 51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51
 52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52  52
  58   58   59   63   59   62   59   61   58   70   61   60   63   55   70   53   65   61   61   61   59   59   60   59
  26   30   26   32   31   38   37   37   32   39   32   25   34   30   19   14   20   16   22   24   21   17   25   22
   7.3    7.8    8.4    8.6    8.6    9.6    9.4    9.6   11.7   18.6   18.0   14.0   14.3   12.0   11.4   10.8   10.6    8.9    5.8    6.0    5.5    4.8    4.4    4.1
   6.9    7.7    8.2    8.6    8.5    9.4    9.3    9.6   11.5    2.7   17.3   12.8   13.3   11.1    4.9    9.5    9.7    6.5    3.3    5.7    4.4    4.1    3.4    1.1
  52.3   52.2   60.2   64.7   63.9   69.7   62.7   50.7   33.1  -46.9  -14.8    6.7   14.5   15.5   86.8   35.2   32.5   42.8  -25.5   -3.9  -15.0    5.9   -5.5   28.7
  57.2   53.9   82.9   84.1   55.1   14.4  347.1  324.3  311.1  284.2  114.5  113.5  118.4  124.2  327.0  308.4  290.2  286.1  183.8  190.0  147.2  100.1  107.9  313.6
   2.3    2.8    0.5    0.4    2.1    3.1    4.1    4.9    6.3    0.5   -6.9   -5.1   -6.1   -6.0    0.2    4.8    2.8    1.3   -3.0   -5.6   -3.6   -0.7   -1.0    0.7
   3.6    3.8    4.0    3.6    3.1    0.8   -0.9   -3.5   -7.3   -1.8   15.2   11.6   11.3    8.9   -0.2   -6.1   -7.7   -4.6   -0.2   -1.0    2.3    4.0    3.2   -0.7
   5.5    6.1    7.1    7.7    7.6    8.8    8.3    7.4    6.3   -2.0   -4.4    1.5    3.3    3.0    4.9    5.5    5.2    4.4   -1.4   -0.4   -1.1    0.4   -0.3    0.5
   2.4    2.7    3.0    2.8    2.7    0.8   -0.5   -2.9   -6.5   -2.1   14.3   11.7   11.7    9.2    0.2   -5.9   -7.8   -4.9    0.0   -0.9    2.5    3.8    3.2   -0.8
   6.1    6.7    7.6    8.0    7.7    8.8    8.3    7.7    7.1   -1.7   -6.7   -0.4    1.6    1.9    4.9    5.7    5.1    4.1   -1.4   -0.6   -0.6    1.3    0.4    0.3
   0.2    0.4    0.3    0.2    0.4    0.2    0.3    0.3    0.3    3.8    1.2    0.6    1.7    0.7    1.2    0.2    0.2    1.6    0.5    0.6    0.7    0.7    0.9    1.5
   2.2    1.1    2.0    1.0    1.1    1.9    1.4    1.0    2.1   18.7    4.7    5.2    5.2    4.3   10.2    4.7    4.0    6.1    4.7    2.0    3.3    2.5    2.8    4.1
   1.5    0.9    1.9    0.7    1.0    1.0    0.4    0.5    0.5    8.6    1.5    2.6    1.9    2.1    5.4    2.4    2.8    1.5    3.1    0.9    1.6    2.1    2.1    2.1
   1.4    0.4    0.5    0.6    0.5    1.6    1.2    0.8    1.1   15.4    2.2    1.8    4.0    1.9    6.4    3.3    1.7    4.7    2.7    1.1    2.0    0.9    1.4    3.3
   0.7    0.6    0.4    0.3    0.4    0.3    0.5    0.3    1.7    6.1    3.9    4.1    2.7    3.2    5.8    2.4    2.4    3.5    2.3    1.4    1.9    0.9    1.3    1.2
   35324.    29093.    27224.     7523.    10661.    12837.    12103.    12258.    12017.   118274.   474546.   837252.   583320.   735880.   565645.   388831.   382600.   306110.   162176.   212377.   181097.   164647.   180969.   221849.
   6.1    7.0    6.4    5.4    5.2    5.3    9.3   14.1    8.2    5.3    5.1    5.1    5.2    5.9    4.5    4.5    4.5    4.4    6.9    7.0    6.6    7.6    6.5    4.2
  449.   454.   435.   446.   460.   471.   472.   474.   467.   513.   538.   554.   557.   573.   631.   664.   636.   651.   670.   685.   692.   668.   663.   655.
   0.4    0.6   -0.4   -1.8   -0.5    0.9    0.9    0.6   -0.3   -2.3   -0.8    2.6    2.4    1.9    6.1    9.7    9.4    7.3    1.1    0.8    1.1    1.3    1.0    1.8
  -0.4   -0.2   -0.3   -1.7   -2.1   -1.5   -0.2    1.1    1.7    4.4    4.7    3.1    2.8    0.6   -2.2   -3.6   -3.7   -4.4   -3.0   -2.9   -3.9   -5.1   -4.5   -3.8
 0.056  0.053  0.044  0.057  0.067  0.065  0.070  0.059  0.053  0.051  0.027  0.050  0.040  0.025  0.047  9.999  9.999  0.023  0.023  0.019  0.022  0.029  0.022  0.018
    7296.     6712.    11281.     1832.     3571.     3293.     1191.      789.     2390.   127409.   119224.   310865.   258646.   150203.   130583.   100430.    40005.    88505.    62095.    83587.    37741.    32452.    28704.    46229.
   1.1    1.1    1.0    0.7    1.0    0.8    2.3    0.9    1.5    2.3    0.8    0.8    1.3    0.7    0.8    0.7    0.6    1.2    1.6    0.9    0.4    1.2    1.5    0.8
    9.     4.     5.     8.     7.     8.     4.     2.     3.    29.    12.    19.    25.    13.    48.    19.    27.    15.     8.     7.     3.    10.     5.    11.
   1.3    0.5    0.8    0.4    0.8    0.7    0.8    0.5    0.5    1.6    2.2    2.1    2.4    1.4    3.8    2.5    1.5    2.9    0.7    0.4    0.8    0.5    0.4    1.5
   1.1    0.7    0.6    0.4    0.3    0.6    0.5    0.3    0.5    3.8    3.1    4.8    2.4    2.2    5.4    2.5    2.2    1.9    1.2    0.8    1.0    0.8    0.4    1.6
 0.008  0.013  0.016  0.008  0.010  0.021  0.006  0.008  0.011  0.017  0.010  0.024  0.014  0.008  0.000  9.999  9.999  0.004  0.004  0.004  0.003  0.005  0.007  0.003
  2.51   2.92   2.38   2.20   2.33   2.47   4.43   6.54   3.62   2.80   2.73   3.14   3.13   3.56   3.55   3.97   3.64   3.40   5.65   5.90   5.74   6.32   5.19   3.23
  -2.74   -3.04   -3.31   -3.57   -3.54   -4.14   -3.92   -3.65   -3.32    0.87    3.60    0.22   -0.89   -1.09   -3.09   -3.78   -3.24   -2.67    0.94    0.41    0.42   -0.87   -0.27   -0.20
   0.78    0.75    0.59    0.41    0.41    0.34    0.62    0.90    0.35    0.16    0.39    1.05    0.75    1.47    1.00    0.83    0.85    1.00    2.48    2.76    2.81    4.02    4.32    3.64
   7.6    7.7    6.6    6.0    6.1    5.6    7.7    9.3    5.7    3.2    3.4    4.5    4.4    5.8    5.9    6.5    6.4    7.7   15.2   15.1   16.2   19.2   19.2   16.4
  5.9   6.0   5.3   5.2   5.2   5.0   6.2   7.0   5.0   3.0   2.9   3.2   3.5   3.8   4.3   5.0   4.8   5.6   8.6   8.2   8.7   9.1   8.8   8.0
 0.0206  0.0201  0.0277  0.0328  0.0320  0.0373  0.0203  0.0138  0.0364  0.1180  0.1044  0.0596  0.0603  0.0354  0.0345  0.0280  0.0294  0.0202  0.0052  0.0052  0.0046  0.0032  0.0032  0.0044
  7   7   7  17  17  17  30  30  30  47  47  47  50  50  50  50  50  50  40  40  40  33  33  33
  62   62   62   62   62   62   62   62   62   62   62   62   62   62   62   62   62   62   62   62   62   62   62   62
    -7     -7     -9     -9     -8     -4      2      9      8      6    -22    -30    -27    -18    -15    -25    -30    -21    -22    -25    -25    -18    -16    -14
   3    3    3    6    6    6   15   15   15   39   39   39   48   48   48   48   48   48   27   27   27   18   18   18
 101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3  101.3
   52    45    39    39    47    49    58    72    86   302   685   837   403   279   366   444   459   254   352   469   475   270   261   427
   -30    -29    -26    -24    -24    -27    -28    -33    -41    -50   -230   -503   -267   -176   -212   -275   -303   -101   -196   -289   -240   -134   -153   -266
    22     16     13     15     23     23     30     39     45    252    455    334    136    103    154    169    156    153    156    179    235    136    108    161
  -0.5   -0.8   -0.8   -0.8   -0.3   -0.6   -0.9   -0.8   -1.1    0.7    4.9    5.9    3.7    1.5    2.4    1.9    4.4    4.2    1.9    1.9    1.2    0.1    0.6    1.9
 0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552  0.006552
     24.70      15.00       9.19       6.42       7.00       5.73       4.82 1000000.00 1000000.00 1000000.00 1000000.00 1000000.00       2.09       1.03       0.97       1.12       1.47       2.01       2.95       3.57       3.27      11.70      23.20      36.20
     2.03      1.49      1.13      1.19      1.38      1.12      0.87  99999.99  99999.99  99999.99  99999.99  99999.99      0.44      0.33      0.34      0.35      0.40      0.45      0.64      0.69      0.81      9.63     21.50     34.60
     0.36      0.31      0.32      0.34      0.38      0.35      0.27  99999.99  99999.99  99999.99  99999.99  99999.99      0.22      0.19      0.21      0.20      0.21      0.19      0.28      0.28      0.43      8.74     20.10     32.10
     0.18      0.16      0.18      0.17      0.20      0.20      0.14  99999.99  99999.99  99999.99  99999.99  99999.99      0.15      0.16      0.16      0.15      0.15      0.10      0.16      0.16      0.30      7.83     17.20     25.90
     0.14      0.13      0.15      0.14      0.16      0.17      0.12  99999.99  99999.99  99999.99  99999.99  99999.99      0.14      0.15      0.14      0.14      0.13      0.08      0.14      0.14      0.26      5.95     10.50     13.50
     0.13      0.12      0.14      0.13      0.15      0.17      0.12  99999.99  99999.99  99999.99  99999.99  99999.99      0.14      0.15      0.13      0.12      0.13      0.08      0.14      0.14      0.24      3.82      5.83      7.09
 -1  -1  -1  -1  -1  -1  -1   0   0   0   0   0  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1
