 Format                 IAGA-2002                                    |
 Source of Data         GFZ, Helmholtz-Zentrum Postdam, Germany      |
 Station Name           Q-Days & D-Days events                       |
 IAGA CODE              Q-Days                                       |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               Q-Days, D-Days                               |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     10 Q-Days & 5 D-days per month               |
 Data Type              Definitive                                   |
 # Converted to IAGA2002 format by the International Service of      |
 #  Geomagnetic indices (ISGI, http://isgi.unistra.fr).              |
 # The values for Q-Days, Q1-Q10, are the order number of the ten    |
 #  quietest days of the month. A selected quiet day is considered   |
 #  not really quiet and is:                                         |
 #   marked by the letter "A" if (Ap >  6);                          |
 #   marked by the letter "K" if (Ap <= 6), or if one(Kp > 3),       |
 #   or two(Kp > 2+).                                                |
 # The values for D-Days, D1-D5, are the order number of the five    |
 #  most disturbed days of the month. A selected disturbed day is    |
 #  considered not really disturbed and marked by "*" if (Ap < 20).  |
 #                                                                   |
 # License: CC BY                                                    |
 #          https://creativecommons.org/licenses/by/4.0/             |
 #                                                                   |
 # For more information on Q-Days & D-Days events, please visit      |
 #  GFZ "Indices of Global Geomagnetic Activity" service website:    |
 #  http://www.gfz-potsdam.de/Kp-index/                              |
DATE       TIME         DOY DAYS                                     |
2005-05-01 00:00:00.000 121 D5 
2005-05-02 00:00:00.000 122 Q10A
2005-05-04 00:00:00.000 124 Q8 
2005-05-05 00:00:00.000 125 Q5 
2005-05-06 00:00:00.000 126 Q6 
2005-05-08 00:00:00.000 128 D2 
2005-05-14 00:00:00.000 134 Q9 
2005-05-15 00:00:00.000 135 D3 
2005-05-16 00:00:00.000 136 D4 
2005-05-23 00:00:00.000 143 Q7 
2005-05-24 00:00:00.000 144 Q4 
2005-05-25 00:00:00.000 145 Q3 
2005-05-26 00:00:00.000 146 Q1 
2005-05-27 00:00:00.000 147 Q2 
2005-05-30 00:00:00.000 150 D1 
2005-06-04 00:00:00.000 155 D5 
2005-06-08 00:00:00.000 159 Q6 
2005-06-09 00:00:00.000 160 Q8 
2005-06-10 00:00:00.000 161 Q2 
2005-06-11 00:00:00.000 162 Q9 
2005-06-12 00:00:00.000 163 D2 
2005-06-13 00:00:00.000 164 D3 
2005-06-16 00:00:00.000 167 D4 
2005-06-19 00:00:00.000 170 Q7 
2005-06-20 00:00:00.000 171 Q3 
2005-06-21 00:00:00.000 172 Q1 
2005-06-23 00:00:00.000 174 D1 
2005-06-27 00:00:00.000 178 Q5 
2005-06-28 00:00:00.000 179 Q4 
2005-06-29 00:00:00.000 180 Q10 
2005-07-04 00:00:00.000 185 Q7 
2005-07-05 00:00:00.000 186 Q3 
2005-07-06 00:00:00.000 187 Q1 
2005-07-07 00:00:00.000 188 Q10 
2005-07-08 00:00:00.000 189 Q5 
2005-07-09 00:00:00.000 190 D4 
2005-07-10 00:00:00.000 191 D1 
2005-07-12 00:00:00.000 193 D2 
2005-07-13 00:00:00.000 194 D3 
2005-07-15 00:00:00.000 196 Q9 
2005-07-23 00:00:00.000 204 Q8 
2005-07-24 00:00:00.000 205 Q2 
2005-07-25 00:00:00.000 206 Q4 
2005-07-26 00:00:00.000 207 Q6 
2005-07-28 00:00:00.000 209 D5 
2005-08-06 00:00:00.000 218 D3 
2005-08-08 00:00:00.000 220 Q10 
2005-08-11 00:00:00.000 223 Q1 
2005-08-12 00:00:00.000 224 Q4K
2005-08-13 00:00:00.000 225 D5*
2005-08-15 00:00:00.000 227 Q8K
2005-08-19 00:00:00.000 231 Q7 
2005-08-20 00:00:00.000 232 Q2 
2005-08-24 00:00:00.000 236 D1 
2005-08-25 00:00:00.000 237 D4 
2005-08-26 00:00:00.000 238 Q9K
2005-08-27 00:00:00.000 239 Q6 
2005-08-28 00:00:00.000 240 Q5 
2005-08-30 00:00:00.000 242 Q3 
2005-08-31 00:00:00.000 243 D2 
2005-09-02 00:00:00.000 245 D5 
2005-09-06 00:00:00.000 249 Q10A
2005-09-08 00:00:00.000 251 Q5 
2005-09-11 00:00:00.000 254 D1 
2005-09-12 00:00:00.000 255 D2 
2005-09-13 00:00:00.000 256 D4 
2005-09-15 00:00:00.000 258 D3 
2005-09-19 00:00:00.000 262 Q8 
2005-09-20 00:00:00.000 263 Q3 
2005-09-21 00:00:00.000 264 Q2 
2005-09-22 00:00:00.000 265 Q7 
2005-09-23 00:00:00.000 266 Q6K
2005-09-24 00:00:00.000 267 Q1 
2005-09-25 00:00:00.000 268 Q4K
2005-09-29 00:00:00.000 272 Q9A
2005-10-02 00:00:00.000 275 D4*
2005-10-04 00:00:00.000 277 Q8 
2005-10-05 00:00:00.000 278 Q7 
2005-10-06 00:00:00.000 279 Q10 
2005-10-08 00:00:00.000 281 D1 
2005-10-12 00:00:00.000 285 Q2 
2005-10-14 00:00:00.000 287 Q5 
2005-10-15 00:00:00.000 288 Q1 
2005-10-17 00:00:00.000 290 D5*
2005-10-20 00:00:00.000 293 Q4 
2005-10-21 00:00:00.000 294 Q6 
2005-10-23 00:00:00.000 296 Q3 
2005-10-25 00:00:00.000 298 D2 
2005-10-29 00:00:00.000 302 Q9 
2005-10-31 00:00:00.000 304 D3*
2005-11-03 00:00:00.000 307 D1 
2005-11-04 00:00:00.000 308 D2 
2005-11-06 00:00:00.000 310 D4*
2005-11-08 00:00:00.000 312 Q4 
2005-11-09 00:00:00.000 313 Q6 
2005-11-10 00:00:00.000 314 Q3 
2005-11-13 00:00:00.000 317 D3*
2005-11-15 00:00:00.000 319 Q7 
2005-11-16 00:00:00.000 320 Q1 
2005-11-17 00:00:00.000 321 Q5 
2005-11-18 00:00:00.000 322 Q8 
2005-11-21 00:00:00.000 325 Q9 
2005-11-26 00:00:00.000 330 Q10 
2005-11-27 00:00:00.000 331 Q2 
2005-11-30 00:00:00.000 334 D5*
