index DOY ASY-D ASY-H SYM-D SYM-H
"2004-11-10 00:00:00" 315 48 60 -6 -156
"2004-11-10 01:00:00" 315 63 71 -5 -141
"2004-11-10 02:00:00" 315 73 107 -1 -164
"2004-11-10 03:00:00" 315 76 108 -11 -158
"2004-11-10 04:00:00" 315 86 131 3 -144
"2004-11-10 05:00:00" 315 108 171 7 -195
"2004-11-10 06:00:00" 315 86 182 17 -238
"2004-11-10 07:00:00" 315 100 180 16 -240
"2004-11-10 08:00:00" 315 109 256 35 -259
"2004-11-10 09:00:00" 315 161 228 31 -259
"2004-11-10 10:00:00" 315 105 139 14 -259
"2004-11-10 11:00:00" 315 178 171 15 -218
"2004-11-10 12:00:00" 315 119 157 14 -221
"2004-11-10 13:00:00" 315 167 105 15 -197
"2004-11-10 14:00:00" 315 91 69 8 -168
"2004-11-10 15:00:00" 315 121 97 5 -167
"2004-11-10 16:00:00" 315 73 73 -2 -162
"2004-11-10 17:00:00" 315 59 89 -16 -130
"2004-11-10 18:00:00" 315 62 74 -7 -115
"2004-11-10 19:00:00" 315 34 34 -4 -116
"2004-11-10 20:00:00" 315 24 41 -4 -116
"2004-11-10 21:00:00" 315 43 50 -4 -115
"2004-11-10 22:00:00" 315 40 35 -2 -109
"2004-11-10 23:00:00" 315 60 32 -2 -109
