codg 311.0 codg 312.0 codg 313.0 codg 314.0 codg 315.0 codg 316.0 codg 317.0 codg 318.0 codg 319.0
 0.0 16.3 0.0 20.4 0.0 47.6 0.0 17.1 0.0 29.6 0.0 10.7 0.0 9.5 0.0 13.0 0.0 13.3
 2.0 5.5 2.0 11.9 2.0 37.0 2.0 8.0 2.0 14.5 2.0 2.8 2.0 2.4 2.0 3.6 2.0 4.4
 4.0 4.7 4.0 8.7 4.0 43.5 4.0 5.4 4.0 13.1 4.0 1.3 4.0 2.2 4.0 4.1 4.0 4.0
 6.0 5.7 6.0 9.9 6.0 13.5 6.0 1.2 6.0 13.3 6.0 2.5 6.0 4.1 6.0 6.0 6.0 4.1
 8.0 6.8 8.0 10.0 8.0 7.0 8.0 2.4 8.0 8.3 8.0 3.7 8.0 4.2 8.0 6.2 8.0 6.6
 10.0 8.3 10.0 10.6 10.0 5.4 10.0 2.5 10.0 6.4 10.0 4.1 10.0 5.4 10.0 7.4 10.0 8.1
 12.0 7.8 12.0 10.0 12.0 6.2 12.0 2.4 12.0 3.7 12.0 4.2 12.0 4.8 12.0 6.0 12.0 7.3
 14.0 18.8 14.0 23.0 14.0 20.2 14.0 16.3 14.0 19.3 14.0 16.8 14.0 18.3 14.0 18.2 14.0 15.9
 16.0 27.4 16.0 35.3 16.0 28.1 16.0 29.6 16.0 30.3 16.0 33.1 16.0 19.1 16.0 29.8 16.0 24.5
 18.0 28.1 18.0 41.0 18.0 26.9 18.0 26.2 18.0 29.3 18.0 29.1 18.0 24.4 18.0 27.8 18.0 27.5
 20.0 23.7 20.0 49.0 20.0 30.3 20.0 30.9 20.0 22.4 20.0 23.6 20.0 28.9 20.0 22.7 20.0 25.1
 22.0 25.3 22.0 53.8 22.0 26.5 22.0 40.2 22.0 14.8 22.0 20.4 22.0 21.5 22.0 20.2 22.0 26.1

