jplg 295.0 jplg 296.0 jplg 297.0 jplg 298.0 jplg 299.0
 0.0 41.5 0.0 25.0 0.0 34.8 0.0 33.8 0.0 32.0
 2.0 36.6 2.0 17.1 2.0 19.7 2.0 19.4 2.0 22.6
 4.0 43.0 4.0 14.9 4.0 14.0 4.0 15.2 4.0 16.4
 6.0 28.9 6.0 10.8 6.0 13.1 6.0 14.1 6.0 13.7
 8.0 20.9 8.0 9.5 8.0 13.5 8.0 13.6 8.0 12.4
 10.0 20.7 10.0 9.0 10.0 13.2 10.0 14.3 10.0 12.2
 12.0 24.4 12.0 18.4 12.0 21.1 12.0 22.4 12.0 18.5
 14.0 54.8 14.0 44.1 14.0 45.8 14.0 46.7 14.0 43.1
 16.0 62.9 16.0 59.3 16.0 62.7 16.0 60.3 16.0 57.0
 18.0 57.4 18.0 70.2 18.0 67.5 18.0 73.1 18.0 69.4
 20.0 56.4 20.0 68.6 20.0 70.4 20.0 80.2 20.0 75.6
 22.0 40.4 22.0 51.1 22.0 58.3 22.0 65.1 22.0 63.1

