jplg 307.0 jplg 308.0 jplg 309.0 jplg 310.0 jplg 311.0 jplg 312.0 jplg 313.0 jplg 314.0
 0.0 50.7 0.0 48.3 0.0 53.5 0.0 57.3 0.0 86.4 0.0 54.5 0.0 46.7 0.0 47.9
 2.0 32.6 2.0 34.6 2.0 31.6 2.0 34.1 2.0 55.3 2.0 34.1 2.0 28.7 2.0 29.8
 4.0 23.0 4.0 21.2 4.0 23.5 4.0 27.0 4.0 37.6 4.0 23.8 4.0 20.8 4.0 25.2
 6.0 18.0 6.0 16.9 6.0 19.4 6.0 27.8 6.0 29.4 6.0 17.5 6.0 15.6 6.0 18.7
 8.0 16.4 8.0 17.0 8.0 15.9 8.0 27.7 8.0 24.8 8.0 16.6 8.0 15.5 8.0 16.8
 10.0 14.9 10.0 16.2 10.0 13.9 10.0 23.7 10.0 15.2 10.0 15.8 10.0 14.1 10.0 14.5
 12.0 25.3 12.0 27.1 12.0 23.8 12.0 43.7 12.0 25.0 12.0 25.8 12.0 24.1 12.0 24.8
 14.0 51.4 14.0 55.0 14.0 52.1 14.0 75.2 14.0 54.5 14.0 54.5 14.0 54.2 14.0 51.2
 16.0 68.0 16.0 82.2 16.0 67.2 16.0 89.4 16.0 70.9 16.0 73.8 16.0 75.1 16.0 66.1
 18.0 76.5 18.0 84.3 18.0 77.0 18.0 97.8 18.0 84.0 18.0 76.3 18.0 79.5 18.0 73.5
 20.0 77.9 20.0 87.8 20.0 86.5 20.0 105.3 20.0 85.1 20.0 70.1 20.0 77.7 20.0 75.6
 22.0 68.7 22.0 78.2 22.0 86.5 22.0 104.8 22.0 74.9 22.0 66.2 22.0 71.3 22.0 72.7
