jplg 326.0 jplg 327.0 jplg 328.0 jplg 329.0 jplg 330.0 jplg 331.0
 0.0 45.0 0.0 49.7 0.0 54.0 0.0 59.6 0.0 40.8 0.0 32.0
 2.0 25.5 2.0 24.5 2.0 27.6 2.0 31.0 2.0 21.9 2.0 17.5
 4.0 18.2 4.0 17.4 4.0 14.9 4.0 21.9 4.0 15.1 4.0 14.3
 6.0 16.2 6.0 15.5 6.0 10.6 6.0 17.8 6.0 13.1 6.0 11.3
 8.0 15.5 8.0 16.4 8.0 11.6 8.0 15.2 8.0 12.7 8.0 11.6
 10.0 15.2 10.0 15.7 10.0 11.5 10.0 13.9 10.0 13.2 10.0 11.4
 12.0 23.7 12.0 23.5 12.0 20.7 12.0 21.7 12.0 19.3 12.0 18.4
 14.0 51.3 14.0 52.3 14.0 71.7 14.0 53.0 14.0 42.9 14.0 45.6
 16.0 61.8 16.0 70.1 16.0 91.6 16.0 67.1 16.0 55.0 16.0 57.4
 18.0 69.1 18.0 80.2 18.0 93.6 18.0 70.6 18.0 65.0 18.0 61.3
 20.0 75.7 20.0 85.6 20.0 95.9 20.0 76.0 20.0 68.6 20.0 63.8
 22.0 70.9 22.0 78.3 22.0 93.4 22.0 67.6 22.0 59.9 22.0 58.4

