jplg 300.0 jplg 301.0 jplg 302.0 jplg 303.0 jplg 304.0 jplg 305.0 jplg 306.0
 0.0 42.6 0.0 38.2 0.0 47.3 0.0 114.0 0.0 76.5 0.0 52.3 0.0 46.3
 2.0 17.6 2.0 19.6 2.0 23.9 2.0 68.1 2.0 32.5 2.0 26.8 2.0 15.5
 4.0 8.8 4.0 14.1 4.0 14.7 4.0 70.8 4.0 20.6 4.0 14.0 4.0 10.2
 6.0 10.6 6.0 11.9 6.0 10.4 6.0 38.5 6.0 12.9 6.0 8.7 6.0 10.7
 8.0 10.8 8.0 11.8 8.0 9.5 8.0 24.0 8.0 14.1 8.0 10.4 8.0 11.3
 10.0 10.6 10.0 9.0 10.0 9.3 10.0 17.3 10.0 16.3 10.0 11.6 10.0 10.3
 12.0 13.7 12.0 17.6 12.0 9.1 12.0 18.0 12.0 13.2 12.0 11.9 12.0 11.0
 14.0 35.8 14.0 35.1 14.0 38.3 14.0 28.3 14.0 43.4 14.0 29.0 14.0 30.0
 16.0 57.0 16.0 61.6 16.0 73.7 16.0 44.3 16.0 58.9 16.0 48.4 16.0 47.7
 18.0 68.8 18.0 75.7 18.0 103.0 18.0 69.6 18.0 59.6 18.0 54.9 18.0 63.7
 20.0 74.0 20.0 73.2 20.0 163.0 20.0 126.7 20.0 71.9 20.0 64.9 20.0 76.3
 22.0 57.5 22.0 64.0 22.0 208.4 22.0 139.9 22.0 67.9 22.0 69.2 22.0 70.0

