DOY tec med
191.0 057.6 027.1
191.0 043.5 021.4
191.0 035.8 18.04
191.0 036.1 17.76
191.0 030.0 16.71
191.0 028.7 15.86
191.0 035.0 22.01
191.0 049.6 29.81
191.0 063.8 36.47
191.0 072.7 41.86
191.0 075.4 43.93
191.0 072.5 42.51
192.0 059.4 027.1
192.0 042.9 021.4
192.0 036.4 18.04
192.0 033.0 17.76
192.0 027.5 16.71
192.0 029.1 15.86
192.0 034.6 22.01
192.0 045.5 29.81
192.0 054.0 36.47
192.0 055.6 41.86
192.0 053.7 43.93
192.0 045.2 42.51
193.0 041.4 027.1
193.0 031.8 021.4
193.0 027.2 18.04
193.0 024.9 17.76
193.0 022.2 16.71
193.0 020.4 15.86
193.0 031.8 22.01
193.0 042.0 29.81
193.0 055.5 36.47
193.0 058.6 41.86
193.0 056.8 43.93
193.0 055.9 42.51
194.0 047.6 027.1
194.0 029.5 021.4
194.0 024.8 18.04
194.0 022.0 17.76
194.0 020.9 16.71
194.0 017.7 15.86
194.0 029.4 22.01
194.0 043.1 29.81
194.0 053.0 36.47
194.0 055.7 41.86
194.0 049.8 43.93
194.0 043.4 42.51
195.0 041.0 027.1
195.0 033.4 021.4
195.0 027.5 18.04
195.0 024.5 17.76
195.0 020.2 16.71
195.0 019.3 15.86
195.0 028.8 22.01
195.0 051.2 29.81
195.0 061.9 36.47
195.0 066.2 41.86
195.0 063.5 43.93
195.0 052.0 42.51
196.0 050.0 027.1
196.0 034.2 021.4
196.0 033.3 18.04
196.0 033.9 17.76
196.0 027.9 16.71
196.0 023.4 15.86
196.0 032.3 22.01
196.0 052.5 29.81
196.0 065.8 36.47
196.0 077.4 41.86
196.0 080.2 43.93
196.0 061.7 42.51
197.0 047.8 027.1
197.0 036.8 021.4
197.0 034.9 18.04
197.0 032.2 17.76
197.0 023.8 16.71
197.0 021.0 15.86
197.0 027.5 22.01
197.0 043.4 29.81
197.0 059.2 36.47
197.0 079.1 41.86
197.0 099.3 43.93
197.0 116.1 42.51
198.0 086.3 027.1
198.0 046.5 021.4
198.0 034.9 18.04
198.0 025.6 17.76
198.0 019.6 16.71
198.0 019.3 15.86
198.0 027.2 22.01
198.0 026.7 29.81
198.0 024.2 36.47
198.0 024.3 41.86
198.0 023.2 43.93
198.0 019.5 42.51
199.0 023.8 027.1
199.0 023.3 021.4
199.0 018.9 18.04
199.0 016.7 17.76
199.0 015.8 16.71
199.0 013.8 15.86
199.0 026.3 22.01
199.0 040.5 29.81
199.0 051.2 36.47
199.0 059.6 41.86
199.0 062.3 43.93
199.0 055.4 42.51
200.0 053.2 027.1
200.0 042.4 021.4
200.0 034.9 18.04
200.0 036.9 17.76
200.0 030.1 16.71
200.0 023.7 15.86
200.0 034.7 22.01
200.0 045.7 29.81
200.0 053.9 36.47
200.0 060.2 41.86
200.0 059.5 43.93
200.0 051.5 42.51
201.0 046.7 027.1
201.0 034.3 021.4
201.0 027.9 18.04
201.0 025.9 17.76
201.0 024.6 16.71
201.0 022.2 15.86
201.0 037.7 22.01
201.0 059.2 29.81
201.0 073.0 36.47
201.0 080.6 41.86
201.0 076.1 43.93
201.0 070.3 42.51
