 1 YEAR                          I4        
 2 DOY                           I4        
 3 Hour                          I3        
 4 Bartels rotation number       I5        
 5 ID for IMF spacecraft         I3        
 6 ID for SW Plasma spacecraft   I3        
 7 # of points in IMF averages   I4        
 8 # of points in Plasma averag. I4        
 9 Scalar B, nT                  F6.1      
10 Vector B Magnitude,nT         F6.1      
11 Lat. Angle of B (GSE)         F6.1      
12 Long. Angle of B (GSE)        F6.1      
13 BX, nT (GSE, GSM)             F6.1      
14 BY, nT (GSE)                  F6.1      
15 BZ, nT (GSE)                  F6.1      
16 BY, nT (GSM)                  F6.1      
17 BZ, nT (GSM)                  F6.1      
18 RMS_magnitude, nT             F6.1      
19 RMS_field_vector, nT          F6.1      
20 RMS_BX_GSE, nT                F6.1      
21 RMS_BY_GSE, nT                F6.1      
22 RMS_BZ_GSE, nT                F6.1      
23 SW Plasma Temperature, K      F9.0      
24 SW Proton Density, N/cm^3     F6.1      
25 SW Plasma Speed, km/s         F6.0      
26 SW Plasma flow long. angle    F6.1      
27 SW Plasma flow lat. angle     F6.1      
28 Alpha/Prot. ratio             F6.3      
29 sigma-T,K                     F9.0      
30 sigma-n, N/cm^3)              F6.1      
31 sigma-V, km/s                 F6.0      
32 sigma-phi V, degrees          F6.1      
33 sigma-theta V, degrees        F6.1      
34 sigma-ratio                   F6.3      
35 Flow pressure                 F6.2      
36 E elecrtric field             F7.2      
37 Plasma Beta                   F7.2      
38 Alfen mach number             F6.1      
39 Magnetosonic Much num.        F5.1      
40 Quasy-Invariant               F7.4      
41 Kp index                      I3        
42 R (Sunspot No.)               I4        
43 Dst-index, nT                 I6        
44 ap_index, nT                  I4        
45 f10.7_index                   F6.1      
46 AE-index, nT                  I5        
47 AL-index, nT                  I6        
48 AU-index, nT                  I6        
49 pc-index                      F6.1      
50 Lyman_alpha                   F9.6      
51 Proton flux (>1 Mev)          F10.2     
52 Proton flux (>2 Mev)          F9.2      
53 Proton flux (>4 Mev)          F9.2      
54 Proton flux (>10 Mev)         F9.2      
55 Proton flux (>30 Mev)         F9.2      
56 Proton flux (>60 Mev)         F9.2      
57 Flux FLAG                     I3        

2011 296  0 2431 51 52  56  30   5.7   5.6  17.7 282.1   1.1  -5.2   1.7  -4.7   2.7   0.1   0.8   0.3   0.4   0.6    9435.   6.1  309.  -3.0   0.8 0.006     667.   0.2    3.   0.4   0.4 0.000  1.00  -0.83   1.08   6.7  4.8 0.0265  0 134     3   0 153.9   21   -10    11  -0.0 0.007993 999999.99 99999.99 99999.99     1.52     0.15     0.06 -1
2011 296  1 2431 51 52  60  35   6.1   6.0   4.1 282.9   1.3  -5.8   0.4  -5.6   1.7   0.1   0.9   0.4   0.2   0.8   10821.   5.5  307.  -3.4   0.6 0.007    1749.   0.4    2.   0.3   0.6 0.001  0.89  -0.52   0.86   5.9  4.5 0.0342  0 134     5   0 153.9   19    -8    11  -0.1 0.007993 999999.99 99999.99 99999.99     1.37     0.12     0.06 -1
2011 296  2 2431 51 52  55  31   6.1   6.0  -3.3 280.2   1.1  -5.9  -0.4  -5.8   1.2   0.0   0.5   0.2   0.0   0.4   11141.   6.0  307.  -3.8   0.4 0.006     823.   0.2    1.   0.2   0.2 0.000  0.97  -0.37   0.94   6.2  4.6 0.0313  0 134     5   0 153.9   20    -7    12  -0.1 0.007993 999999.99 99999.99 99999.99     1.37     0.13     0.06 -1
2011 296  3 2431 51 52  60  33   6.1   6.0  -7.9 292.9   2.3  -5.4  -0.8  -5.4   0.9   0.2   1.1   0.8   0.5   0.6   12079.   6.0  301.  -3.5   0.7 0.007    2211.   0.4    2.   0.7   0.6 0.000  0.93  -0.27   0.94   6.0  4.5 0.0326  0 134     3   0 153.9   22    -7    15  -0.1 0.007993 999999.99 99999.99 99999.99     1.30     0.13     0.06 -1
2011 296  4 2431 51 52  61  37   6.1   6.0 -24.6 272.1   0.2  -5.4  -2.5  -5.9  -0.4   0.2   1.4   1.1   0.5   0.7   11537.   6.4  306.  -3.7  -0.1 0.007    1063.   0.4    3.   0.5   0.3 0.002  1.03   0.12   1.00   6.3  4.6 0.0295  0 134     3   0 153.9   27    -3    23   0.2 0.007993 999999.99 99999.99 99999.99     1.27     0.14     0.06 -1
2011 296  5 2431 51 52  58  33   5.8   5.8 -28.6 248.6  -1.8  -4.7  -2.8  -5.4  -0.7   0.1   0.6   0.5   0.2   0.3   12690.   7.0  310.  -3.0   0.2 0.009     940.   0.3    2.   0.4   0.3 0.001  1.16   0.22   1.22   7.1  4.9 0.0238  0 134     2   0 153.9   51     0    50   0.5 0.007993 999999.99 99999.99 99999.99     1.59     0.13     0.06 -1
2011 296  6 2431 51 52  56  32   5.9   5.7 -17.6 233.8  -3.2  -4.4  -1.7  -4.7   0.4   0.2   1.7   0.8   0.5   1.4   12116.   7.5  305.  -1.6   0.6 0.009    1373.   1.3    3.   0.7   0.7 0.001  1.21  -0.12   1.26   7.1  4.9 0.0237  3 134     3   2 153.9   52     1    53   0.4 0.007993 999999.99 99999.99 99999.99     2.67     0.15     0.05 -1
2011 296  7 2431 51 52  55  31   6.3   6.2 -36.2 236.3  -2.8  -4.2  -3.7  -5.4  -1.3   0.2   0.6   0.3   0.4   0.3   11726.   6.9  299.  -2.4  -0.1 0.009    1953.   0.8    3.   0.5   0.5 0.001  1.07   0.39   1.01   6.2  4.6 0.0306  3 134     2   2 153.9   61     2    62   0.3 0.007993 999999.99 99999.99 99999.99     2.23     0.14     0.06 -1
2011 296  8 2431 51 52  59  35   6.2   6.2 -39.9 226.8  -3.2  -3.4  -3.9  -4.9  -1.7   0.2   0.8   0.5   0.6   0.2   10845.   7.0  299.  -2.4   0.0 0.010    1555.   0.6    3.   0.5   0.4 0.001  1.09   0.51   1.05   6.4  4.6 0.0292  3 134     1   2 153.9   69    -6    63   0.3 0.007993 999999.99 99999.99 99999.99     3.57     0.15     0.06 -1
2011 296  9 2431 51 52  60  37   6.1   6.0 -45.8 243.7  -1.9  -3.8  -4.3  -5.5  -1.8   0.2   0.9   0.8   0.3   0.3   12486.   7.4  294.  -3.3  -0.3 0.010    1901.   0.9    2.   0.5   0.9 0.001  1.11   0.53   1.17   6.6  4.6 0.0277  7 134    -1   3 153.9   49   -16    33   0.3 0.007993 999999.99 99999.99 99999.99     3.67     0.14     0.05 -1
