nT                   TGM1                TGM2                TGM3                TGM4                TGM5                TGM6                TGM(General)
0100                 0.98                0.93                0.97                0.95                0.92                0.93                0.93
0090                 0.98                0.93                0.97                0.95                0.92                0.93                0.93
0080                 0.98                0.87                0.97                0.95                0.92                0.93                0.90
0070                 0.98                0.87                0.97                0.95                0.92                0.93                0.90
0060                 0.98                0.92                0.97                0.95                0.92                0.93                0.93
0050                 0.98                0.93                0.96                0.94                0.74                0.92                0.92
0040                 0.95                0.93                0.96                0.95                0.63                0.84                0.91
0030                 0.89                0.92                0.87                0.94                0.73                0.88                0.83
0020                 0.66                0.93                0.96                0.67                0.83                0.74                0.74
0010                 0.27                0.52                0.95                0.41                0.82                0.26                0.59
0000                -0.18               -0.08                0.92                0.19                0.84                0.10                0.11
-010                -0.29                0.88                0.41                0.90                0.82                0.28               -0.09
-020                -0.12                0.85                0.54                0.93                0.72                0.64               -0.02
-030                 0.35                0.84                0.85                0.93                0.56                0.67                0.15
-040                 0.71                0.81                0.83                0.93                0.55                0.72                0.26
-050                 0.78                0.81                0.81                0.94                0.43                0.48                0.25
-060                 0.89                0.80                0.97                0.73                0.16                0.67                0.25
-070                 0.86                0.76                0.98                0.80               -0.06                0.70                0.29
-080                 0.85                0.78                0.97                0.61               -0.38                0.56                0.34
-090                 0.84                0.74                0.99                0.71               -0.09                0.48                0.45
-100                 0.79                0.73                0.99                0.58                0.98                0.69                0.26
-110                 0.73                0.69                0.99                0.33                1.00                 NaN                0.35
-120                 0.73                0.75                0.99                0.33                 NaN                 NaN                0.43
-130                 0.70                0.78                0.99                0.33                 NaN                 NaN                0.46
-140                 0.67                0.71                0.99                0.75                 NaN                 NaN                0.30
-150                 0.67                0.71                0.98                0.92                 NaN                 NaN                0.42
-160                 0.64                0.66                0.92                0.52                 NaN                 NaN                0.43
-170                 0.49                0.65                0.92                0.88                 NaN                 NaN                0.49
-180                 0.85                0.70                0.92                0.17                 NaN                 NaN                0.58
-190                 0.80                0.82                1.00               -1.00                 NaN                 NaN                0.68
-200                 0.80                0.82                 NaN               -1.00                 NaN                 NaN                0.85
