  nT      TGM1            TGM2            TGM3            TGM4            TGM5            TGM6            TGM(General)
100      0.98282019      0.92519908      0.96538336      0.95258615      0.91631807      0.92962376      0.92925082
-50      0.78477403      0.80833956      0.81043661      0.93853826      0.43029115      0.47548002      0.25332025
-60      0.89229861      0.79861201      0.96958698      0.72674973      0.15703528      0.66826218      0.24677057
-70      0.86441940      0.75660542      0.97660887      0.80328555    -0.059696689      0.69725965      0.29091641
-80      0.85334839      0.78151088      0.97476391      0.61166945     -0.38297702      0.55513559      0.34334373
-90      0.84089216      0.74091161      0.98504056      0.70948174    -0.085883433      0.48149429      0.45486714
-100     0.79233003      0.72844760      0.98864722      0.57605414      0.98419088      0.69183266      0.25952097
-110     0.73278275      0.68901889      0.99126710      0.33157866       1.0000000             NaN      0.34687909
-120     0.73278275      0.74749508      0.99126710      0.33157866             NaN             NaN      0.43426346
-130     0.70348098      0.77680233      0.98915468      0.33157866             NaN             NaN      0.45730961
-140     0.67290713      0.71156756      0.98899323      0.75431984             NaN             NaN      0.30121800
-150     0.67290713      0.70585907      0.97899739      0.91733023             NaN             NaN      0.41721759
-160     0.63609915      0.66483802      0.92119271      0.51766987             NaN             NaN      0.43215420
-170     0.48855325      0.65450689      0.92119271      0.87594520             NaN             NaN      0.48789814
-180     0.84921192      0.70359635      0.92119271      0.17178509             NaN             NaN      0.57570151
-190     0.79895012      0.81671124       1.0000000      -1.0000000             NaN             NaN      0.68129038
-200     0.79895012      0.82082326             NaN      -1.0000000             NaN             NaN      0.85479127


            
