DOY  Hora mdif    tcdif
323  0.0  25.11   1.15
323  1.0  19.90   0.68
323  2.0  16.08   7.96
323  3.0  23.15   8.02
323  4.0  20.80   2.03
323  5.0  32.83   1.97
323  6.0  51.41  14.39
323  7.0  31.06  46.82
323  8.0  12.99  15.37
323  9.0  19.37   7.16
323 10.0   8.41   7.48
323 11.0  27.57   5.80
323 12.0  19.49   2.20
323 13.0  17.96   1.44
323 14.0   9.65   9.59
323 15.0   7.70  29.42
323 16.0  24.23  10.30
323 17.0  18.87   1.32
323 18.0  16.85  11.69
323 19.0  18.74  17.79
323 20.0  21.90   5.70
323 21.0  16.65   1.12
323 22.0  13.17   8.69
323 23.0  20.15  18.46
