DOY  Hora mdif    tcdif
323  0.0    NaN    NaN
323  1.0    NaN    NaN
323  2.0    NaN    NaN
323  3.0    NaN    NaN
323  4.0    NaN    NaN
323  5.0    NaN    NaN
323  6.0    NaN    NaN
323  7.0    NaN    NaN
323  8.0    NaN    NaN
323  9.0    NaN    NaN
323 10.0    NaN    NaN
323 11.0    NaN    NaN
323 12.0    NaN    NaN
323 13.0    NaN    NaN
323 14.0    NaN    NaN
323 15.0    NaN    NaN
323 16.0  44.73    NaN
323 17.0    NaN    NaN
323 18.0    NaN    NaN
323 19.0    NaN    NaN
323 20.0  94.19  28.07
323 21.0  75.34  40.74
323 22.0    NaN  68.13
323 23.0    NaN  31.60
