DOY  Hora mdif    tcdif
146  0.0  0.782425  1.0608
146  1.0  2.189862  1.1238
146  2.0       Inf  0.7751
146  3.0  0.813123  0.2704
146  4.0  1.062427  0.1758
146  5.0  0.332645  0.0979
146  6.0  0.609045  0.1508
146  7.0  0.694036  0.1009
146  8.0  1.309742  0.0386
146  9.0  0.619244  0.2024
146 10.0  0.284194  0.1890
146 11.0  0.053777  0.1266
146 12.0  0.350298  1.1141
146 13.0  0.362574  1.2000
146 14.0  0.654474  0.5176
146 15.0  0.274751  0.1195
146 16.0  1.915060  0.0095
146 17.0  2.767794  0.1529
146 18.0  2.164365  0.2408
146 19.0  0.810189  0.0653
146 20.0  0.393838  0.0990
146 21.0  1.100200  0.2278
146 22.0  0.654373  0.3153
146 23.0  0.824455  0.2585
147  0.0  1.340062  1.2357
147  1.0  4.042747  1.9048
147  2.0  2.682905  3.0921
147  3.0  0.197416  2.6604
147  4.0  2.252289  1.4109
147  5.0  1.062427  0.0979
147  6.0  0.124602  0.3107
147  7.0  0.344632  0.1619
147  8.0  0.600142  0.1184
147  9.0  0.687560  0.0147
147 10.0  0.723782  0.1115
147 11.0  0.732888  0.2649
147 12.0  0.111570  0.3536
147 13.0  0.016381  0.3429
147 14.0      -NaN  0.1518
147 15.0  1.570749  0.0692
147 16.0  0.401123  0.1093
147 17.0  0.641254  0.3179
147 18.0  0.725704  0.3007
147 19.0  0.432307  0.0156
147 20.0  0.427564  0.1051
147 21.0  0.262598  0.2024
147 22.0  0.230934  0.0801
147 23.0  1.449776  0.0212
148  0.0  0.971380  0.6274
148  1.0  0.914250  0.4952
148  2.0  0.787256  0.2195
148  3.0  0.241914  0.0189
148  4.0  0.086513  0.0261
148  5.0  0.242313  0.2189
148  6.0  0.100934  0.2707
148  7.0  0.127072  0.0653
148  8.0  0.456798  0.1836
148  9.0  0.607702  0.2684
148 10.0  0.495542  0.2936
148 11.0  0.369184  0.2066
