 Format                 IAGA-2002                                    |
 Source of Data         GFZ, Helmholtz-Zentrum Postdam, Germany      |
 Station Name           Q-Days & D-Days events                       |
 IAGA CODE              Q-Days                                       |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               Q-Days, D-Days                               |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     10 Q-Days & 5 D-days per month               |
 Data Type              Definitive                                   |
 # Converted to IAGA2002 format by the International Service of      |
 #  Geomagnetic indices (ISGI, http://isgi.unistra.fr).              |
 # The values for Q-Days, Q1-Q10, are the order number of the ten    |
 #  quietest days of the month. A selected quiet day is considered   |
 #  not really quiet and is:                                         |
 #   marked by the letter "A" if (Ap >  6);                          |
 #   marked by the letter "K" if (Ap <= 6), or if one(Kp > 3),       |
 #   or two(Kp > 2+).                                                |
 # The values for D-Days, D1-D5, are the order number of the five    |
 #  most disturbed days of the month. A selected disturbed day is    |
 #  considered not really disturbed and marked by "*" if (Ap < 20).  |
 #                                                                   |
 # License: CC BY                                                    |
 #          https://creativecommons.org/licenses/by/4.0/             |
 #                                                                   |
 # For more information on Q-Days & D-Days events, please visit      |
 #  GFZ "Indices of Global Geomagnetic Activity" service website:    |
 #  http://www.gfz-potsdam.de/Kp-index/                              |
DATE       TIME         DOY DAYS                                     |
2017-08-02 00:00:00.000 214 Q5 
2017-08-08 00:00:00.000 220 Q7 
2017-08-09 00:00:00.000 221 Q4 
2017-08-10 00:00:00.000 222 Q10 
2017-08-14 00:00:00.000 226 Q9 
2017-08-15 00:00:00.000 227 Q2 
2017-08-17 00:00:00.000 229 D3 
2017-08-19 00:00:00.000 231 D2 
2017-08-20 00:00:00.000 232 D5 
2017-08-23 00:00:00.000 235 D4 
2017-08-25 00:00:00.000 237 Q8 
2017-08-26 00:00:00.000 238 Q3 
2017-08-28 00:00:00.000 240 Q1 
2017-08-30 00:00:00.000 242 Q6 
2017-08-31 00:00:00.000 243 D1 
2017-09-03 00:00:00.000 246 Q9A
2017-09-07 00:00:00.000 250 D5 
2017-09-08 00:00:00.000 251 D1 
2017-09-09 00:00:00.000 252 Q2 
2017-09-10 00:00:00.000 253 Q7K
2017-09-15 00:00:00.000 258 D4 
2017-09-19 00:00:00.000 262 Q10A
2017-09-21 00:00:00.000 264 Q6 
2017-09-22 00:00:00.000 265 Q5 
2017-09-23 00:00:00.000 266 Q4 
2017-09-24 00:00:00.000 267 Q8 
2017-09-25 00:00:00.000 268 Q3 
2017-09-26 00:00:00.000 269 Q1 
2017-09-27 00:00:00.000 270 D3 
2017-09-28 00:00:00.000 271 D2 
2017-10-07 00:00:00.000 280 Q7 
2017-10-08 00:00:00.000 281 Q6 
2017-10-09 00:00:00.000 282 Q2 
2017-10-10 00:00:00.000 283 Q5 
2017-10-11 00:00:00.000 284 D3 
2017-10-12 00:00:00.000 285 D4 
2017-10-13 00:00:00.000 286 D1 
2017-10-14 00:00:00.000 287 D2 
2017-10-15 00:00:00.000 288 D5 
2017-10-18 00:00:00.000 291 Q10 
2017-10-23 00:00:00.000 296 Q9 
2017-10-27 00:00:00.000 300 Q8 
2017-10-29 00:00:00.000 302 Q3 
2017-10-30 00:00:00.000 303 Q1 
2017-10-31 00:00:00.000 304 Q4 
2017-11-01 00:00:00.000 305 Q4 
2017-11-04 00:00:00.000 308 Q5 
2017-11-05 00:00:00.000 309 Q2 
2017-11-06 00:00:00.000 310 Q1 
2017-11-07 00:00:00.000 311 D2 
2017-11-08 00:00:00.000 312 D1 
2017-11-10 00:00:00.000 314 D4 
2017-11-12 00:00:00.000 316 Q10 
2017-11-16 00:00:00.000 320 D5*
2017-11-17 00:00:00.000 321 Q9 
2017-11-19 00:00:00.000 323 Q7 
2017-11-21 00:00:00.000 325 D3 
2017-11-26 00:00:00.000 330 Q3 
2017-11-27 00:00:00.000 331 Q8 
2017-11-29 00:00:00.000 333 Q6 
2017-12-02 00:00:00.000 336 Q9 
2017-12-03 00:00:00.000 337 Q1 
2017-12-05 00:00:00.000 339 D1 
2017-12-06 00:00:00.000 340 D4*
2017-12-09 00:00:00.000 343 Q10 
2017-12-10 00:00:00.000 344 Q4 
2017-12-12 00:00:00.000 346 D5*
2017-12-15 00:00:00.000 349 Q5 
2017-12-16 00:00:00.000 350 Q6 
2017-12-17 00:00:00.000 351 D2 
2017-12-18 00:00:00.000 352 D3*
2017-12-21 00:00:00.000 355 Q3 
2017-12-22 00:00:00.000 356 Q2 
2017-12-30 00:00:00.000 364 Q7 
2017-12-31 00:00:00.000 365 Q8 
2018-01-01 00:00:00.000 001 D3*
2018-01-03 00:00:00.000 003 Q6 
2018-01-04 00:00:00.000 004 Q8 
2018-01-06 00:00:00.000 006 Q5 
2018-01-07 00:00:00.000 007 Q3 
2018-01-09 00:00:00.000 009 D5*
2018-01-11 00:00:00.000 011 Q4 
2018-01-12 00:00:00.000 012 Q9 
2018-01-14 00:00:00.000 014 D1*
2018-01-17 00:00:00.000 017 Q2 
2018-01-18 00:00:00.000 018 Q1 
2018-01-22 00:00:00.000 022 D2*
2018-01-25 00:00:00.000 025 D4*
2018-01-28 00:00:00.000 028 Q10 
2018-01-29 00:00:00.000 029 Q7 
2018-02-02 00:00:00.000 033 Q7 
2018-02-03 00:00:00.000 034 Q8 
2018-02-04 00:00:00.000 035 Q10 
2018-02-07 00:00:00.000 038 Q5 
2018-02-08 00:00:00.000 039 Q4 
2018-02-11 00:00:00.000 042 Q1 
2018-02-12 00:00:00.000 043 Q9 
2018-02-13 00:00:00.000 044 Q2 
2018-02-14 00:00:00.000 045 Q3 
2018-02-15 00:00:00.000 046 D5*
2018-02-18 00:00:00.000 049 D4*
2018-02-19 00:00:00.000 050 D2*
2018-02-21 00:00:00.000 052 Q6 
2018-02-23 00:00:00.000 054 D3*
2018-02-27 00:00:00.000 058 D1*
2018-03-02 00:00:00.000 061 Q6 
2018-03-05 00:00:00.000 064 Q10 
2018-03-06 00:00:00.000 065 Q8 
2018-03-07 00:00:00.000 066 Q7 
2018-03-08 00:00:00.000 067 Q4 
2018-03-12 00:00:00.000 071 Q2 
2018-03-13 00:00:00.000 072 Q3 
2018-03-15 00:00:00.000 074 D4*
2018-03-16 00:00:00.000 075 D2*
2018-03-18 00:00:00.000 077 D1 
2018-03-21 00:00:00.000 080 Q9 
2018-03-23 00:00:00.000 082 D5*
2018-03-25 00:00:00.000 084 D3*
2018-03-28 00:00:00.000 087 Q1 
2018-03-29 00:00:00.000 088 Q5 
2018-04-01 00:00:00.000 091 Q10 
2018-04-03 00:00:00.000 093 Q7 
2018-04-06 00:00:00.000 096 Q6 
2018-04-07 00:00:00.000 097 Q9 
2018-04-09 00:00:00.000 099 D5*
2018-04-10 00:00:00.000 100 D2*
2018-04-11 00:00:00.000 101 D3*
2018-04-16 00:00:00.000 106 Q2 
2018-04-17 00:00:00.000 107 Q3 
2018-04-19 00:00:00.000 109 Q1 
2018-04-20 00:00:00.000 110 D1 
2018-04-21 00:00:00.000 111 D4*
2018-04-26 00:00:00.000 116 Q8 
2018-04-28 00:00:00.000 118 Q5 
2018-04-29 00:00:00.000 119 Q4 
2018-05-01 00:00:00.000 121 Q1 
2018-05-03 00:00:00.000 123 Q6 
2018-05-05 00:00:00.000 125 D2 
2018-05-06 00:00:00.000 126 D1 
2018-05-07 00:00:00.000 127 D3*
2018-05-09 00:00:00.000 129 D5*
2018-05-11 00:00:00.000 131 D4*
2018-05-15 00:00:00.000 135 Q8 
2018-05-16 00:00:00.000 136 Q10 
2018-05-19 00:00:00.000 139 Q3 
2018-05-20 00:00:00.000 140 Q4 
2018-05-21 00:00:00.000 141 Q2 
2018-05-24 00:00:00.000 144 Q9 
2018-05-25 00:00:00.000 145 Q7 
2018-05-26 00:00:00.000 146 Q5 
2018-06-01 00:00:00.000 152 D1 
2018-06-02 00:00:00.000 153 D4*
