 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto, Japan           |
 Station Name           ASY/SYM Indices                              |
 IAGA CODE              ASY/SYM                                      |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               ASY-D, ASY-H, SYM-D, SYM-H                   |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Provisional                                  |
 # Converted to IAGA2002 format by the International Service of      |
 #  Geomagnetic indices (ISGI, http://isgi.unistra.fr).              |
 # Missing values are indicated by value 9999                        |
 # ASY-D: longitudinally asymmetric disturbance component in D       |
 # ASY-H: longitudinally asymmetric disturbance component in H       |
 # SYM-D: longitudinally symmetric disturbance component in D        |
 # SYM-H: longitudinally symmetric disturbance component in H        |
 # ASY-D, ASY-H, SYM-D, SYM-H: unit 1 nT                             |
 #                                                                   |
 # For more information on ASY/SYM indices, please visit             |
 #  World Data Center for Geomagnetism (Kyoto) website:              |
 #  http://wdc.kugi.kyoto-u.ac.jp/aeasy/                             |
DATE       TIME         DOY  ASY-D  ASY-H  SYM-D  SYM-H              |
2015-06-20 00:00:00.000 171     20      9      1    -13
2015-06-20 01:00:00.000 171     13      4     -1    -10
2015-06-20 02:00:00.000 171      7      6     -1    -10
2015-06-20 03:00:00.000 171     12      4      0     -9
2015-06-20 04:00:00.000 171     14      7     -1     -8
2015-06-20 05:00:00.000 171      7      8      0     -8
2015-06-20 06:00:00.000 171      5      5     -1     -7
2015-06-20 07:00:00.000 171      7      5     -2     -6
2015-06-20 08:00:00.000 171      4      7     -2    -11
2015-06-20 09:00:00.000 171      5      4     -3    -12
2015-06-20 10:00:00.000 171      4      6     -2    -11
2015-06-20 11:00:00.000 171      2     12     -1     -9
2015-06-20 12:00:00.000 171      4     14     -2     -8
2015-06-20 13:00:00.000 171      3     16     -1     -6
2015-06-20 14:00:00.000 171      6     14      0     -6
2015-06-20 15:00:00.000 171     12     13     -1     -6
2015-06-20 16:00:00.000 171     17     14      1     -4
2015-06-20 17:00:00.000 171     16     12      1     -5
2015-06-20 18:00:00.000 171     15     16      0     -5
2015-06-20 19:00:00.000 171     19     12     -2     -5
2015-06-20 20:00:00.000 171     19     10     -4     -4
2015-06-20 21:00:00.000 171     14     11     -3     -2
2015-06-20 22:00:00.000 171     10     10     -2     -4
2015-06-20 23:00:00.000 171     10      8     -1     -2
2015-06-21 00:00:00.000 172     18      6      1      2
2015-06-21 01:00:00.000 172     25      8      3      1
2015-06-21 02:00:00.000 172     32      8      5      3
2015-06-21 03:00:00.000 172     24      6      5      2
2015-06-21 04:00:00.000 172     18      4      1      1
2015-06-21 05:00:00.000 172      7      5     -2      0
2015-06-21 06:00:00.000 172      5      6     -2     -2
2015-06-21 07:00:00.000 172     14     19      0     -6
2015-06-21 08:00:00.000 172     22     25      2     -7
2015-06-21 09:00:00.000 172     15     22      1     -6
2015-06-21 10:00:00.000 172     10     16     -1     -4
2015-06-21 11:00:00.000 172      9     18     -2     -3
2015-06-21 12:00:00.000 172     10     25     -2      1
2015-06-21 13:00:00.000 172     11     22     -1      5
2015-06-21 14:00:00.000 172     14     14      1      5
2015-06-21 15:00:00.000 172     14      9      1      4
2015-06-21 16:00:00.000 172     10     24      1     13
2015-06-21 17:00:00.000 172     20     21      6     43
2015-06-21 18:00:00.000 172     12     15      6     42
2015-06-21 19:00:00.000 172     20     16      5     35
2015-06-21 20:00:00.000 172     27     17      5     26
2015-06-21 21:00:00.000 172     29     18      2     24
2015-06-21 22:00:00.000 172     19     23      1     14
2015-06-21 23:00:00.000 172     14     19      1     11
2015-06-22 00:00:00.000 173     17     12      2      7
2015-06-22 01:00:00.000 173     22     12      1      5
2015-06-22 02:00:00.000 173     29     12      0      6
2015-06-22 03:00:00.000 173     31     14      0      6
2015-06-22 04:00:00.000 173     25     13     -1      6
2015-06-22 05:00:00.000 173     19     18     -2     13
2015-06-22 06:00:00.000 173     19     25     -3     18
2015-06-22 07:00:00.000 173     39     41     -3      8
2015-06-22 08:00:00.000 173     24     30      5      4
2015-06-22 09:00:00.000 173     39     31      5     -9
2015-06-22 10:00:00.000 173     38     31      4    -11
2015-06-22 11:00:00.000 173     31     25      2     -3
2015-06-22 12:00:00.000 173     29     16      1     -3
2015-06-22 13:00:00.000 173     20     15      2     -5
2015-06-22 14:00:00.000 173     31     37      7    -23
2015-06-22 15:00:00.000 173     21     24      5    -36
2015-06-22 16:00:00.000 173     51     48      3    -47
2015-06-22 17:00:00.000 173     32     61      0    -27
2015-06-22 18:00:00.000 173     50    108      9     17
2015-06-22 19:00:00.000 173    120    258     35    -29
2015-06-22 20:00:00.000 173    158    168    -17   -115
2015-06-22 21:00:00.000 173    122    128    -11    -94
2015-06-22 22:00:00.000 173    119    124    -13    -90
2015-06-22 23:00:00.000 173    105    103     -8    -95
2015-06-23 00:00:00.000 174    117     87     -9    -84
2015-06-23 01:00:00.000 174     83    115     -3   -119
2015-06-23 02:00:00.000 174     68    102      7   -146
2015-06-23 03:00:00.000 174    156    138     -5   -170
2015-06-23 04:00:00.000 174     96    150      9   -199
2015-06-23 05:00:00.000 174    119    130      8   -169
2015-06-23 06:00:00.000 174     47    141      5   -158
2015-06-23 07:00:00.000 174     48    113      1   -138
2015-06-23 08:00:00.000 174     76     78     -2   -143
2015-06-23 09:00:00.000 174     83     71      6   -149
2015-06-23 10:00:00.000 174     68     89      4   -140
2015-06-23 11:00:00.000 174     71     92     -1   -124
2015-06-23 12:00:00.000 174     96    102     -5   -113
2015-06-23 13:00:00.000 174     82     82     -6   -107
2015-06-23 14:00:00.000 174     47     92     -4    -89
2015-06-23 15:00:00.000 174     45     97     -5    -95
2015-06-23 16:00:00.000 174     48     96     -5    -93
2015-06-23 17:00:00.000 174     40    100     -4    -92
2015-06-23 18:00:00.000 174     29    101     -3    -80
2015-06-23 19:00:00.000 174     37    100      0    -70
2015-06-23 20:00:00.000 174     54    103     -1    -84
2015-06-23 21:00:00.000 174     61    119     -3    -84
2015-06-23 22:00:00.000 174     58    114     -4    -86
2015-06-23 23:00:00.000 174     54    109     -4    -78
2015-06-24 00:00:00.000 175     44     67     -7    -92
2015-06-24 01:00:00.000 175     30     45     -2    -92
2015-06-24 02:00:00.000 175     18     31     -4    -84
2015-06-24 03:00:00.000 175     23     35     -1    -87
2015-06-24 04:00:00.000 175     17     33      2    -83
2015-06-24 05:00:00.000 175     11     23      1    -85
2015-06-24 06:00:00.000 175     16     21      0    -87
2015-06-24 07:00:00.000 175     20     24      2    -87
2015-06-24 08:00:00.000 175     13     15      0    -80
2015-06-24 09:00:00.000 175     23     37      6    -77
2015-06-24 10:00:00.000 175     20     34      4    -84
2015-06-24 11:00:00.000 175     10     19      0    -84
2015-06-24 12:00:00.000 175     11     14     -2    -82
2015-06-24 13:00:00.000 175      7     15     -4    -67
2015-06-24 14:00:00.000 175     12     20     -4    -48
2015-06-24 15:00:00.000 175     15     22     -5    -45
2015-06-24 16:00:00.000 175     18     26     -5    -39
2015-06-24 17:00:00.000 175     19     23     -3    -45
2015-06-24 18:00:00.000 175     17     23     -1    -49
2015-06-24 19:00:00.000 175     25     35      0    -47
2015-06-24 20:00:00.000 175     45     30      0    -55
2015-06-24 21:00:00.000 175     56     30      0    -60
2015-06-24 22:00:00.000 175     54     26      0    -64
2015-06-24 23:00:00.000 175     41     26      0    -65
2015-06-25 00:00:00.000 176     31     21      0    -61
2015-06-25 01:00:00.000 176     26     14     -2    -48
2015-06-25 02:00:00.000 176     23     20     -4    -36
2015-06-25 03:00:00.000 176     15     21     -5    -32
2015-06-25 04:00:00.000 176      9     18     -5    -33
2015-06-25 05:00:00.000 176      7     14     -8    -31
2015-06-25 06:00:00.000 176      9     15     -5    -35
2015-06-25 07:00:00.000 176     24     58      0    -44
2015-06-25 08:00:00.000 176     21     27      1    -44
2015-06-25 09:00:00.000 176     19     29      8    -53
2015-06-25 10:00:00.000 176     21     20      4    -59
2015-06-25 11:00:00.000 176     16     27      5    -56
2015-06-25 12:00:00.000 176      6     35      8    -48
2015-06-25 13:00:00.000 176     16     39      6    -61
2015-06-25 14:00:00.000 176     28     50      1    -76
2015-06-25 15:00:00.000 176     24     46     -5    -74
2015-06-25 16:00:00.000 176     28     49     -7    -68
2015-06-25 17:00:00.000 176     13     35     -5    -70
2015-06-25 18:00:00.000 176     22     27     -5    -72
