index DOY ASY-D ASY-H SYM-D SYM-H
"2003-11-21 00:00:00" 325 41 75 -22 -294
"2003-11-21 00:01:00" 325 43 72 -23 -294
"2003-11-21 00:02:00" 325 43 73 -23 -294
"2003-11-21 00:03:00" 325 44 74 -23 -294
"2003-11-21 00:04:00" 325 43 75 -23 -293
"2003-11-21 00:05:00" 325 44 76 -23 -290
"2003-11-21 00:06:00" 325 40 74 -23 -288
"2003-11-21 00:07:00" 325 38 72 -23 -288
"2003-11-21 00:08:00" 325 39 70 -23 -288
"2003-11-21 00:09:00" 325 42 72 -24 -289
"2003-11-21 00:10:00" 325 43 74 -25 -290
"2003-11-21 00:11:00" 325 43 72 -26 -290
"2003-11-21 00:12:00" 325 41 72 -26 -289
"2003-11-21 00:13:00" 325 41 72 -26 -290
"2003-11-21 00:14:00" 325 49 72 -28 -291
"2003-11-21 00:15:00" 325 49 74 -29 -289
"2003-11-21 00:16:00" 325 46 75 -30 -289
"2003-11-21 00:17:00" 325 46 74 -30 -289
"2003-11-21 00:18:00" 325 45 73 -30 -288
"2003-11-21 00:19:00" 325 43 74 -29 -287
"2003-11-21 00:20:00" 325 42 75 -29 -286
"2003-11-21 00:21:00" 325 41 75 -28 -286
"2003-11-21 00:22:00" 325 54 77 -22 -289
"2003-11-21 00:23:00" 325 51 78 -21 -292
"2003-11-21 00:24:00" 325 58 80 -21 -292
"2003-11-21 00:25:00" 325 61 80 -22 -291
"2003-11-21 00:26:00" 325 57 81 -23 -291
"2003-11-21 00:27:00" 325 57 79 -23 -290
"2003-11-21 00:28:00" 325 52 79 -23 -290
"2003-11-21 00:29:00" 325 46 78 -22 -290
"2003-11-21 00:30:00" 325 45 77 -22 -289
"2003-11-21 00:31:00" 325 39 75 -22 -288
"2003-11-21 00:32:00" 325 36 73 -22 -287
"2003-11-21 00:33:00" 325 35 70 -21 -285
"2003-11-21 00:34:00" 325 33 66 -21 -283
"2003-11-21 00:35:00" 325 28 65 -20 -282
"2003-11-21 00:36:00" 325 26 64 -20 -281
"2003-11-21 00:37:00" 325 27 66 -20 -280
"2003-11-21 00:38:00" 325 27 68 -20 -280
"2003-11-21 00:39:00" 325 33 65 -20 -281
"2003-11-21 00:40:00" 325 35 67 -21 -281
"2003-11-21 00:41:00" 325 35 68 -21 -282
"2003-11-21 00:42:00" 325 39 66 -22 -282
"2003-11-21 00:43:00" 325 38 67 -22 -282
"2003-11-21 00:44:00" 325 39 67 -22 -283
"2003-11-21 00:45:00" 325 41 64 -23 -282
"2003-11-21 00:46:00" 325 40 62 -23 -281
"2003-11-21 00:47:00" 325 36 64 -22 -282
"2003-11-21 00:48:00" 325 37 64 -22 -283
"2003-11-21 00:49:00" 325 38 62 -23 -281
"2003-11-21 00:50:00" 325 37 62 -22 -280
"2003-11-21 00:51:00" 325 36 59 -22 -278
"2003-11-21 00:52:00" 325 38 58 -22 -277
"2003-11-21 00:53:00" 325 38 56 -22 -275
"2003-11-21 00:54:00" 325 34 57 -22 -274
"2003-11-21 00:55:00" 325 32 61 -21 -273
"2003-11-21 00:56:00" 325 32 62 -21 -272
"2003-11-21 00:57:00" 325 32 64 -21 -271
"2003-11-21 00:58:00" 325 33 65 -21 -270
"2003-11-21 00:59:00" 325 33 67 -22 -269
"2003-11-21 01:00:00" 325 32 66 -22 -270
"2003-11-21 01:01:00" 325 32 65 -22 -270
"2003-11-21 01:02:00" 325 31 65 -22 -269
"2003-11-21 01:03:00" 325 32 63 -22 -269
"2003-11-21 01:04:00" 325 31 62 -22 -268
"2003-11-21 01:05:00" 325 29 62 -22 -268
"2003-11-21 01:06:00" 325 27 61 -21 -267
"2003-11-21 01:07:00" 325 26 60 -21 -266
"2003-11-21 01:08:00" 325 26 61 -21 -266
"2003-11-21 01:09:00" 325 24 61 -20 -266
"2003-11-21 01:10:00" 325 25 59 -19 -266
"2003-11-21 01:11:00" 325 26 58 -19 -265
"2003-11-21 01:12:00" 325 25 56 -19 -264
"2003-11-21 01:13:00" 325 22 56 -19 -264
"2003-11-21 01:14:00" 325 20 55 -18 -263
"2003-11-21 01:15:00" 325 19 58 -17 -262
"2003-11-21 01:16:00" 325 19 61 -16 -260
"2003-11-21 01:17:00" 325 21 63 -16 -257
"2003-11-21 01:18:00" 325 22 60 -15 -251
"2003-11-21 01:19:00" 325 22 64 -14 -245
"2003-11-21 01:20:00" 325 20 72 -13 -240
"2003-11-21 01:21:00" 325 27 89 -10 -236
"2003-11-21 01:22:00" 325 30 107 -8 -233
"2003-11-21 01:23:00" 325 27 112 -7 -231
"2003-11-21 01:24:00" 325 15 110 -7 -229
"2003-11-21 01:25:00" 325 17 105 -8 -228
"2003-11-21 01:26:00" 325 22 103 -8 -229
"2003-11-21 01:27:00" 325 16 98 -8 -230
"2003-11-21 01:28:00" 325 12 96 -9 -229
"2003-11-21 01:29:00" 325 10 95 -8 -230
"2003-11-21 01:30:00" 325 9 93 -8 -231
"2003-11-21 01:31:00" 325 11 86 -9 -233
"2003-11-21 01:32:00" 325 10 81 -10 -234
"2003-11-21 01:33:00" 325 15 74 -12 -233
"2003-11-21 01:34:00" 325 26 71 -12 -232
"2003-11-21 01:35:00" 325 20 67 -12 -231
"2003-11-21 01:36:00" 325 18 64 -11 -232
"2003-11-21 01:37:00" 325 17 65 -11 -231
"2003-11-21 01:38:00" 325 14 64 -11 -230
"2003-11-21 01:39:00" 325 16 64 -11 -229
"2003-11-21 01:40:00" 325 17 64 -12 -228
"2003-11-21 01:41:00" 325 15 63 -12 -227
"2003-11-21 01:42:00" 325 12 61 -12 -227
"2003-11-21 01:43:00" 325 12 60 -11 -227
"2003-11-21 01:44:00" 325 10 58 -11 -228
"2003-11-21 01:45:00" 325 14 59 -11 -227
"2003-11-21 01:46:00" 325 13 60 -11 -228
"2003-11-21 01:47:00" 325 9 60 -12 -230
"2003-11-21 01:48:00" 325 9 55 -12 -231
"2003-11-21 01:49:00" 325 19 51 -13 -228
"2003-11-21 01:50:00" 325 19 56 -13 -227
"2003-11-21 01:51:00" 325 13 61 -12 -228
"2003-11-21 01:52:00" 325 11 65 -10 -228
"2003-11-21 01:53:00" 325 14 63 -10 -225
"2003-11-21 01:54:00" 325 17 60 -11 -224
"2003-11-21 01:55:00" 325 20 60 -12 -224
"2003-11-21 01:56:00" 325 19 61 -12 -224
"2003-11-21 01:57:00" 325 19 61 -12 -224
"2003-11-21 01:58:00" 325 17 62 -11 -225
"2003-11-21 01:59:00" 325 17 61 -11 -225
"2003-11-21 02:00:00" 325 19 61 -11 -225
"2003-11-21 02:01:00" 325 17 58 -11 -223
"2003-11-21 02:02:00" 325 15 59 -10 -223
"2003-11-21 02:03:00" 325 21 66 -9 -222
"2003-11-21 02:04:00" 325 13 65 -9 -221
"2003-11-21 02:05:00" 325 14 65 -8 -222
"2003-11-21 02:06:00" 325 13 69 -7 -222
"2003-11-21 02:07:00" 325 13 68 -8 -222
"2003-11-21 02:08:00" 325 15 65 -9 -223
"2003-11-21 02:09:00" 325 14 63 -9 -224
"2003-11-21 02:10:00" 325 14 60 -9 -225
"2003-11-21 02:11:00" 325 13 59 -7 -224
"2003-11-21 02:12:00" 325 12 58 -7 -223
"2003-11-21 02:13:00" 325 11 58 -7 -223
"2003-11-21 02:14:00" 325 11 58 -8 -223
"2003-11-21 02:15:00" 325 11 60 -9 -222
"2003-11-21 02:16:00" 325 12 60 -10 -222
"2003-11-21 02:17:00" 325 12 60 -10 -223
"2003-11-21 02:18:00" 325 12 58 -11 -223
"2003-11-21 02:19:00" 325 13 54 -11 -223
"2003-11-21 02:20:00" 325 13 53 -10 -222
"2003-11-21 02:21:00" 325 14 55 -8 -220
"2003-11-21 02:22:00" 325 14 57 -7 -220
"2003-11-21 02:23:00" 325 14 59 -7 -220
"2003-11-21 02:24:00" 325 13 60 -7 -220
"2003-11-21 02:25:00" 325 12 60 -8 -219
"2003-11-21 02:26:00" 325 12 59 -9 -219
"2003-11-21 02:27:00" 325 12 57 -9 -219
"2003-11-21 02:28:00" 325 13 57 -10 -219
"2003-11-21 02:29:00" 325 13 57 -9 -220
"2003-11-21 02:30:00" 325 12 57 -8 -218
"2003-11-21 02:31:00" 325 11 59 -7 -218
"2003-11-21 02:32:00" 325 12 59 -7 -218
"2003-11-21 02:33:00" 325 12 57 -8 -217
"2003-11-21 02:34:00" 325 11 62 -8 -218
"2003-11-21 02:35:00" 325 12 67 -8 -221
"2003-11-21 02:36:00" 325 12 66 -9 -223
"2003-11-21 02:37:00" 325 15 60 -10 -223
"2003-11-21 02:38:00" 325 18 58 -11 -222
"2003-11-21 02:39:00" 325 17 58 -10 -221
"2003-11-21 02:40:00" 325 15 61 -9 -220
"2003-11-21 02:41:00" 325 15 61 -8 -218
"2003-11-21 02:42:00" 325 12 61 -7 -216
"2003-11-21 02:43:00" 325 10 64 -6 -215
"2003-11-21 02:44:00" 325 12 67 -5 -214
"2003-11-21 02:45:00" 325 12 64 -5 -215
"2003-11-21 02:46:00" 325 13 61 -6 -214
"2003-11-21 02:47:00" 325 16 56 -7 -212
"2003-11-21 02:48:00" 325 15 53 -6 -211
"2003-11-21 02:49:00" 325 16 59 -5 -209
"2003-11-21 02:50:00" 325 17 61 -4 -208
"2003-11-21 02:51:00" 325 16 57 -3 -204
"2003-11-21 02:52:00" 325 16 54 -3 -196
"2003-11-21 02:53:00" 325 19 61 -3 -187
"2003-11-21 02:54:00" 325 37 92 2 -186
"2003-11-21 02:55:00" 325 41 107 6 -189
"2003-11-21 02:56:00" 325 34 95 5 -192
"2003-11-21 02:57:00" 325 28 75 1 -192
"2003-11-21 02:58:00" 325 26 59 -4 -191
"2003-11-21 02:59:00" 325 18 53 -7 -192
"2003-11-21 03:00:00" 325 14 45 -7 -192
"2003-11-21 03:01:00" 325 13 45 -7 -192
"2003-11-21 03:02:00" 325 15 44 -7 -190
"2003-11-21 03:03:00" 325 14 41 -7 -188
"2003-11-21 03:04:00" 325 11 34 -7 -184
"2003-11-21 03:05:00" 325 13 34 -6 -181
"2003-11-21 03:06:00" 325 15 47 -3 -182
"2003-11-21 03:07:00" 325 15 46 -4 -185
"2003-11-21 03:08:00" 325 14 36 -6 -184
"2003-11-21 03:09:00" 325 18 31 -6 -180
"2003-11-21 03:10:00" 325 12 42 -3 -179
"2003-11-21 03:11:00" 325 16 41 -3 -180
"2003-11-21 03:12:00" 325 10 31 -5 -177
"2003-11-21 03:13:00" 325 12 32 -4 -175
"2003-11-21 03:14:00" 325 9 35 -4 -174
"2003-11-21 03:15:00" 325 8 39 -5 -174
"2003-11-21 03:16:00" 325 10 44 -5 -176
"2003-11-21 03:17:00" 325 12 35 -8 -176
"2003-11-21 03:18:00" 325 15 37 -9 -171
"2003-11-21 03:19:00" 325 14 30 -7 -167
"2003-11-21 03:20:00" 325 17 27 -5 -166
"2003-11-21 03:21:00" 325 21 32 -4 -165
"2003-11-21 03:22:00" 325 18 34 -5 -162
"2003-11-21 03:23:00" 325 17 36 -5 -160
"2003-11-21 03:24:00" 325 18 34 -6 -161
"2003-11-21 03:25:00" 325 17 35 -7 -161
"2003-11-21 03:26:00" 325 17 38 -8 -161
"2003-11-21 03:27:00" 325 19 40 -9 -159
"2003-11-21 03:28:00" 325 19 41 -9 -159
"2003-11-21 03:29:00" 325 23 36 -8 -164
"2003-11-21 03:30:00" 325 26 40 -11 -171
"2003-11-21 03:31:00" 325 31 45 -15 -180
"2003-11-21 03:32:00" 325 37 49 -18 -185
"2003-11-21 03:33:00" 325 35 51 -17 -187
"2003-11-21 03:34:00" 325 34 50 -16 -187
"2003-11-21 03:35:00" 325 32 48 -14 -186
"2003-11-21 03:36:00" 325 31 47 -12 -186
"2003-11-21 03:37:00" 325 27 44 -10 -184
"2003-11-21 03:38:00" 325 26 41 -10 -182
"2003-11-21 03:39:00" 325 22 40 -8 -181
"2003-11-21 03:40:00" 325 15 41 -7 -180
"2003-11-21 03:41:00" 325 20 42 -9 -185
"2003-11-21 03:42:00" 325 30 37 -12 -191
"2003-11-21 03:43:00" 325 30 41 -13 -194
"2003-11-21 03:44:00" 325 25 42 -12 -193
"2003-11-21 03:45:00" 325 22 42 -11 -190
"2003-11-21 03:46:00" 325 19 36 -8 -188
"2003-11-21 03:47:00" 325 18 42 -6 -185
"2003-11-21 03:48:00" 325 22 41 -7 -186
"2003-11-21 03:49:00" 325 21 38 -7 -186
"2003-11-21 03:50:00" 325 21 39 -8 -187
"2003-11-21 03:51:00" 325 23 37 -9 -189
"2003-11-21 03:52:00" 325 22 34 -9 -190
"2003-11-21 03:53:00" 325 21 35 -8 -189
"2003-11-21 03:54:00" 325 22 36 -7 -189
"2003-11-21 03:55:00" 325 21 39 -6 -187
"2003-11-21 03:56:00" 325 22 39 -6 -185
"2003-11-21 03:57:00" 325 24 40 -5 -183
"2003-11-21 03:58:00" 325 23 46 -5 -180
"2003-11-21 03:59:00" 325 24 46 -5 -179
"2003-11-21 04:00:00" 325 23 44 -6 -180
"2003-11-21 04:01:00" 325 25 39 -8 -184
"2003-11-21 04:02:00" 325 25 37 -8 -184
"2003-11-21 04:03:00" 325 23 40 -7 -181
