index DOY ASY-D ASY-H SYM-D SYM-H
"2003-11-24 00:00:00" 328 9 16 -2 -28
"2003-11-24 01:00:00" 328 10 14 -3 -29
"2003-11-24 02:00:00" 328 15 11 -1 -24
"2003-11-24 03:00:00" 328 21 8 0 -23
"2003-11-24 04:00:00" 328 20 12 1 -24
"2003-11-24 05:00:00" 328 14 14 2 -25
"2003-11-24 06:00:00" 328 13 20 3 -25
"2003-11-24 07:00:00" 328 19 16 5 -22
"2003-11-24 08:00:00" 328 20 11 5 -20
"2003-11-24 09:00:00" 328 17 11 5 -24
"2003-11-24 10:00:00" 328 13 11 4 -23
"2003-11-24 11:00:00" 328 10 11 2 -23
"2003-11-24 12:00:00" 328 9 10 2 -21
"2003-11-24 13:00:00" 328 9 15 2 -23
"2003-11-24 14:00:00" 328 27 53 4 -26
"2003-11-24 15:00:00" 328 21 19 1 -26
"2003-11-24 16:00:00" 328 27 10 2 -21
"2003-11-24 17:00:00" 328 17 19 0 -21
"2003-11-24 18:00:00" 328 10 26 -1 -21
"2003-11-24 19:00:00" 328 15 25 2 -23
"2003-11-24 20:00:00" 328 20 26 1 -30
"2003-11-24 21:00:00" 328 31 24 1 -32
"2003-11-24 22:00:00" 328 14 20 -3 -34
"2003-11-24 23:00:00" 328 14 12 -2 -26
