codg 284.0 codg 285.0 codg 286.0 codg 287.0 codg 288.0 codg 289.0 codg 290.0 codg 291.0 codg 292.0 codg 293.0 codg 294.0 codg 295.0 codg 296.0 codg 297.0 codg 298.0 codg 299.0 codg 300.0 codg 301.0 codg 302.0 codg 303.0 codg 304.0 codg 305.0 codg 306.0 codg 307.0 codg 308.0 codg 309.0 codg 310.0
 0.0 24.3 0.0 20.3 0.0 27.0 0.0 24.8 0.0 16.7 0.0 17.1 0.0 17.6 0.0 20.0 0.0 19.3 0.0 20.7 0.0 24.7 0.0 25.3 0.0 26.7 0.0 19.2 0.0 25.0 0.0 28.5 0.0 21.9 0.0 21.0 0.0 25.7 0.0 20.5 0.0 23.9 0.0 25.4 0.0 25.3 0.0 19.8 0.0 20.1 0.0 26.4 0.0 20.2
 2.0 10.1 2.0 14.3 2.0 11.2 2.0 9.2 2.0 5.7 2.0 4.9 2.0 6.8 2.0 6.9 2.0 8.0 2.0 9.9 2.0 8.6 2.0 8.4 2.0 7.9 2.0 12.1 2.0 8.2 2.0 12.6 2.0 9.2 2.0 8.3 2.0 12.1 2.0 8.8 2.0 10.9 2.0 8.0 2.0 12.8 2.0 8.4 2.0 6.6 2.0 7.3 2.0 7.9
 4.0 9.5 4.0 11.5 4.0 4.7 4.0 4.4 4.0 5.1 4.0 4.3 4.0 5.0 4.0 7.1 4.0 7.2 4.0 7.6 4.0 6.4 4.0 5.8 4.0 8.0 4.0 9.4 4.0 8.2 4.0 10.2 4.0 9.4 4.0 8.8 4.0 11.5 4.0 8.7 4.0 10.1 4.0 6.9 4.0 11.1 4.0 8.4 4.0 7.1 4.0 5.7 4.0 6.9
 6.0 8.8 6.0 8.1 6.0 7.6 6.0 5.8 6.0 6.7 6.0 5.3 6.0 6.8 6.0 7.2 6.0 7.3 6.0 7.4 6.0 6.4 6.0 6.8 6.0 8.7 6.0 8.5 6.0 7.7 6.0 9.2 6.0 9.0 6.0 8.0 6.0 10.9 6.0 8.5 6.0 10.6 6.0 6.0 6.0 9.9 6.0 10.1 6.0 7.3 6.0 8.1 6.0 6.4
 8.0 9.3 8.0 10.7 8.0 9.1 8.0 6.6 8.0 9.1 8.0 6.5 8.0 8.3 8.0 8.5 8.0 7.4 8.0 8.4 8.0 5.9 8.0 7.7 8.0 10.5 8.0 12.3 8.0 9.9 8.0 10.2 8.0 10.3 8.0 9.3 8.0 9.6 8.0 8.5 8.0 10.0 8.0 6.4 8.0 9.3 8.0 9.2 8.0 7.7 8.0 8.7 8.0 7.3
 10.0 8.7 10.0 8.2 10.0 9.2 10.0 6.8 10.0 7.5 10.0 6.0 10.0 8.3 10.0 8.7 10.0 7.6 10.0 9.8 10.0 6.6 10.0 8.6 10.0 10.6 10.0 11.0 10.0 11.4 10.0 10.3 10.0 9.8 10.0 9.8 10.0 9.6 10.0 9.0 10.0 9.9 10.0 5.3 10.0 9.5 10.0 9.6 10.0 7.3 10.0 8.6 10.0 7.7
 12.0 8.5 12.0 7.6 12.0 8.6 12.0 6.6 12.0 7.6 12.0 6.4 12.0 7.3 12.0 8.1 12.0 6.6 12.0 8.8 12.0 6.9 12.0 8.9 12.0 11.0 12.0 10.3 12.0 11.1 12.0 10.5 12.0 10.0 12.0 9.7 12.0 10.6 12.0 8.3 12.0 10.9 12.0 5.6 12.0 9.4 12.0 8.7 12.0 7.8 12.0 8.4 12.0 7.1
 14.0 21.4 14.0 18.4 14.0 17.6 14.0 18.0 14.0 17.5 14.0 19.1 14.0 15.9 14.0 18.0 14.0 16.1 14.0 18.1 14.0 17.0 14.0 20.5 14.0 23.0 14.0 24.2 14.0 25.0 14.0 24.7 14.0 25.0 14.0 23.3 14.0 23.3 14.0 21.8 14.0 26.3 14.0 19.5 14.0 22.4 14.0 20.7 14.0 19.7 14.0 19.2 14.0 17.7
 16.0 25.8 16.0 26.4 16.0 24.9 16.0 30.8 16.0 26.0 16.0 25.3 16.0 22.3 16.0 28.7 16.0 25.1 16.0 24.7 16.0 29.4 16.0 30.1 16.0 30.7 16.0 33.9 16.0 37.6 16.0 36.2 16.0 37.2 16.0 34.0 16.0 35.7 16.0 38.9 16.0 38.0 16.0 36.2 16.0 29.7 16.0 31.1 16.0 31.7 16.0 30.9 16.0 30.1
 18.0 34.9 18.0 32.4 18.0 31.9 18.0 42.1 18.0 30.9 18.0 27.5 18.0 26.7 18.0 29.6 18.0 34.1 18.0 31.0 18.0 39.8 18.0 31.1 18.0 41.7 18.0 38.1 18.0 44.3 18.0 45.3 18.0 39.6 18.0 40.2 18.0 39.7 18.0 45.3 18.0 41.5 18.0 44.4 18.0 34.1 18.0 37.8 18.0 36.6 18.0 34.2 18.0 33.7
 20.0 39.0 20.0 34.2 20.0 29.2 20.0 33.8 20.0 33.1 20.0 32.5 20.0 33.5 20.0 29.4 20.0 40.1 20.0 36.1 20.0 43.8 20.0 32.8 20.0 34.2 20.0 39.2 20.0 46.5 20.0 43.6 20.0 38.3 20.0 36.8 20.0 39.5 20.0 45.9 20.0 44.0 20.0 48.2 20.0 37.5 20.0 38.1 20.0 41.1 20.0 33.2 20.0 32.0
 22.0 33.5 22.0 28.0 22.0 27.9 22.0 27.9 22.0 29.5 22.0 29.0 22.0 32.6 22.0 26.5 22.0 38.6 22.0 34.4 22.0 32.5 22.0 35.6 22.0 31.0 22.0 33.0 22.0 41.8 22.0 35.6 22.0 33.7 22.0 36.0 22.0 35.2 22.0 46.5 22.0 36.0 22.0 36.6 22.0 30.1 22.0 35.0 22.0 42.6 22.0 31.8 22.0 27.4

