jplg 191.0 jplg 192.0 jplg 193.0 jplg 194.0 jplg 195.0 jplg 196.0 jplg 197.0 jplg 198.0 jplg 199.0 jplg 200.0 jplg 201.0
 0.0 57.6 0.0 59.4 0.0 41.4 0.0 47.6 0.0 41.0 0.0 50.0 0.0 47.8 0.0 86.3 0.0 23.8 0.0 53.2 0.0 46.7
 2.0 43.5 2.0 42.9 2.0 31.8 2.0 29.5 2.0 33.4 2.0 34.2 2.0 36.8 2.0 46.5 2.0 23.3 2.0 42.4 2.0 34.3
 4.0 35.8 4.0 36.4 4.0 27.2 4.0 24.8 4.0 27.5 4.0 33.3 4.0 34.9 4.0 34.9 4.0 18.9 4.0 34.9 4.0 27.9
 6.0 36.1 6.0 33.0 6.0 24.9 6.0 22.0 6.0 24.5 6.0 33.9 6.0 32.2 6.0 25.6 6.0 16.7 6.0 36.9 6.0 25.9
 8.0 30.0 8.0 27.5 8.0 22.2 8.0 20.9 8.0 20.2 8.0 27.9 8.0 23.8 8.0 19.6 8.0 15.8 8.0 30.1 8.0 24.6
 10.0 28.7 10.0 29.1 10.0 20.4 10.0 17.7 10.0 19.3 10.0 23.4 10.0 21.0 10.0 19.3 10.0 13.8 10.0 23.7 10.0 22.2
 12.0 35.0 12.0 34.6 12.0 31.8 12.0 29.4 12.0 28.8 12.0 32.3 12.0 27.5 12.0 27.2 12.0 26.3 12.0 34.7 12.0 37.7
 14.0 49.6 14.0 45.5 14.0 42.0 14.0 43.1 14.0 51.2 14.0 52.5 14.0 43.4 14.0 26.7 14.0 40.5 14.0 45.7 14.0 59.2
 16.0 63.8 16.0 54.0 16.0 55.5 16.0 53.0 16.0 61.9 16.0 65.8 16.0 59.2 16.0 24.2 16.0 51.2 16.0 53.9 16.0 73.0
 18.0 72.7 18.0 55.6 18.0 58.6 18.0 55.7 18.0 66.2 18.0 77.4 18.0 79.1 18.0 24.3 18.0 59.6 18.0 60.2 18.0 80.6
 20.0 75.4 20.0 53.7 20.0 56.8 20.0 49.8 20.0 63.5 20.0 80.2 20.0 99.3 20.0 23.2 20.0 62.3 20.0 59.5 20.0 76.1
 22.0 72.5 22.0 45.2 22.0 55.9 22.0 43.4 22.0 52.0 22.0 61.7 22.0 116.1 22.0 19.5 22.0 55.4 22.0 51.5 22.0 70.3

