jplg 273 jplg 274 jplg 275 jplg 276 jplg 277 jplg 278 jplg 279 jplg 280 jplg 281 jplg 282 jplg 283 jplg 284 jplg 285 jplg 286 jplg 287 jplg 288 jplg 289 jplg 290 jplg 291 jplg 292 jplg 293 jplg 294 jplg 295 jplg 296 jplg 297 jplg 298 jplg 299
0 42.6 0 43.5 0 53.8 0 46.9 0 36.7 0 30.4 0 39.4 0 47.9 0 35.9 0 36.8 0 32.3 0 37.8 0 34.4 0 31.7 0 41.8 0 43.3 0 32.1 0 26.4 0 27.8 0 22.4 0 33.6 0 36.9 0 37.2 0 24.4 0 29.3 0 45.3 0 36.3
2 25.5 2 25.1 2 27.1 2 26.1 2 19.8 2 15.3 2 20.7 2 24 2 16.2 2 16.9 2 12.6 2 13.8 2 12.9 2 15.9 2 22.7 2 19.5 2 15.5 2 14.4 2 10.1 2 10 2 11.6 2 15.3 2 19.4 2 14.6 2 12.4 2 24.7 2 17.2
4 17.7 4 18.5 4 16.2 4 22.5 4 12 4 12.3 4 12.8 4 15.2 4 12.4 4 12.3 4 10.2 4 11.2 4 11.6 4 13.7 4 13.7 4 13.4 4 10.8 4 10.9 4 8.6 4 9.6 4 9.1 4 9.8 4 11.6 4 9.5 4 12.8 4 19.8 4 10.7
6 15.2 6 14.9 6 14.4 6 18.1 6 10.8 6 12.4 6 12.1 6 12.2 6 11.8 6 12.1 6 12 6 10.2 6 11.8 6 13.4 6 12.6 6 14 6 11.6 6 12.6 6 10.2 6 10.9 6 10.3 6 9.4 6 11.4 6 9.3 6 10.2 6 15.7 6 11.1
8 14.1 8 13.7 8 15.6 8 14.8 8 10.9 8 12.9 8 11.6 8 10.3 8 10.7 8 11.6 8 11.3 8 10.6 8 11.5 8 11.5 8 12.7 8 15 8 10.6 8 11.4 8 10.1 8 9.7 8 9.9 8 10.9 8 12.5 8 10.5 8 9.8 8 14.1 8 10.5
10 14.1 10 14.1 10 12.4 10 12.4 10 10.8 10 11 10 11.1 10 11.1 10 9.9 10 11.8 10 10.4 10 10.7 10 11.5 10 11.1 10 13.7 10 12.5 10 10 10 11.5 10 9.2 10 9.5 10 9.8 10 10.6 10 11.3 10 9.9 10 9.4 10 13.6 10 9.1
12 14.4 12 13 12 12.4 12 11.3 12 10.5 12 11.3 12 10.9 12 11.7 12 9.4 12 10.9 12 9.7 12 10.4 12 11.9 12 10.9 12 12.9 12 11.1 12 10.8 12 10.2 12 8.7 12 9.3 12 10.5 12 10 12 11.9 12 10 12 10.4 12 13.6 12 9.8
14 29 14 25.1 14 26.3 14 30.9 14 27.2 14 27.1 14 24.6 14 26.3 14 26 14 25.6 14 21.9 14 22.1 14 23.7 14 26.3 14 28.8 14 30.9 14 22.4 14 25.4 14 25 14 24 14 22.7 14 25.6 14 32.8 14 24.7 14 29.6 14 30.2 14 28.6
16 40.9 16 39.4 16 36.7 16 40.7 16 39.6 16 37.1 16 36.3 16 35.4 16 37.5 16 37.5 16 33.9 16 36 16 33.3 16 37.5 16 51.3 16 46.2 16 33.6 16 42.7 16 41.9 16 37.1 16 39.2 16 45.9 16 53.5 16 38.5 16 45.2 16 51.2 16 49.4
18 53.1 18 51.2 18 47.4 18 47.7 18 46.5 18 43.6 18 43.1 18 46.2 18 45.5 18 48.2 18 46.1 18 45 18 42.7 18 43.3 18 59.6 18 53.4 18 48.3 18 47.5 18 46.8 18 53.3 18 51.6 18 56.2 18 59.5 18 45.7 18 52.3 18 63.9 18 62.7
20 61 20 57.4 20 55.4 20 54.8 20 43.5 20 44.9 20 49.4 20 52.6 20 51.6 20 52.5 20 54.4 20 52.1 20 48.5 20 51.6 20 67.7 20 58.8 20 61.2 20 50.9 20 44.7 20 65.3 20 51.2 20 60.3 20 59.9 20 49.1 20 60.4 20 62.5 20 69.3
22 55.9 22 63 22 57.8 22 53.9 22 38.1 22 46 22 55.4 22 46.9 22 49.7 22 50.1 22 52.6 22 49.7 22 43.8 22 46.8 22 65.6 22 47.4 22 50.2 22 45.3 22 38.9 22 60.3 22 40.9 22 52 22 38.2 22 38.5 22 49.9 22 48.9 22 58.7
