jplg 296.0 jplg 297.0 jplg 298.0 jplg 299.0 jplg 300.0 jplg 301.0 jplg 302.0 jplg 303.0 jplg 304.0 jplg 305.0 jplg 306.0 jplg 307.0 jplg 308.0 jplg 309.0 jplg 310.0 jplg 311.0 jplg 312.0 jplg 313.0 jplg 314.0 jplg 315.0 jplg 316.0 jplg 317.0 jplg 318.0 jplg 319.0 jplg 320.0 jplg 321.0 jplg 322.0
 0.0 24.4 0.0 29.3 0.0 45.3 0.0 36.3 0.0 42.6 0.0 38.2 0.0 47.3 0.0 114.0 0.0 76.5 0.0 52.3 0.0 46.3 0.0 39.4 0.0 32.4 0.0 32.6 0.0 27.5 0.0 31.6 0.0 25.4 0.0 22.0 0.0 26.8 0.0 23.0 0.0 16.8 0.0 19.7 0.0 25.0 0.0 18.4 0.0 16.8 0.0 19.8 0.0 20.9
 2.0 14.6 2.0 12.4 2.0 24.7 2.0 17.2 2.0 17.6 2.0 19.6 2.0 23.9 2.0 68.1 2.0 32.5 2.0 26.8 2.0 15.5 2.0 18.3 2.0 13.1 2.0 16.3 2.0 13.6 2.0 13.3 2.0 10.4 2.0 9.4 2.0 11.7 2.0 12.1 2.0 11.1 2.0 8.4 2.0 11.8 2.0 9.6 2.0 11.5 2.0 10.7 2.0 11.2
 4.0 9.5 4.0 12.8 4.0 19.8 4.0 10.7 4.0 8.8 4.0 14.1 4.0 14.7 4.0 70.8 4.0 20.6 4.0 14.0 4.0 10.2 4.0 14.3 4.0 11.9 4.0 15.3 4.0 11.9 4.0 8.8 4.0 10.4 4.0 11.2 4.0 11.0 4.0 12.5 4.0 11.1 4.0 9.4 4.0 11.4 4.0 8.7 4.0 8.9 4.0 10.5 4.0 8.4
 6.0 9.3 6.0 10.2 6.0 15.7 6.0 11.1 6.0 10.6 6.0 11.9 6.0 10.4 6.0 38.5 6.0 12.9 6.0 8.7 6.0 10.7 6.0 12.0 6.0 9.0 6.0 8.8 6.0 8.8 6.0 9.7 6.0 8.1 6.0 9.4 6.0 10.3 6.0 9.2 6.0 8.9 6.0 8.6 6.0 9.6 6.0 8.0 6.0 6.7 6.0 5.9 6.0 6.8
 8.0 10.5 8.0 9.8 8.0 14.1 8.0 10.5 8.0 10.8 8.0 11.8 8.0 9.5 8.0 24.0 8.0 14.1 8.0 10.4 8.0 11.3 8.0 11.2 8.0 10.0 8.0 11.0 8.0 9.3 8.0 10.5 8.0 9.0 8.0 8.9 8.0 10.5 8.0 9.4 8.0 9.5 8.0 8.8 8.0 9.6 8.0 8.4 8.0 7.6 8.0 7.8 8.0 8.4
 10.0 9.9 10.0 9.4 10.0 13.6 10.0 9.1 10.0 10.6 10.0 9.0 10.0 9.3 10.0 17.3 10.0 16.3 10.0 11.6 10.0 10.3 10.0 8.9 10.0 10.1 10.0 11.1 10.0 9.3 10.0 8.7 10.0 8.4 10.0 8.4 10.0 8.7 10.0 9.4 10.0 9.0 10.0 8.8 10.0 10.1 10.0 8.7 10.0 7.0 10.0 9.6 10.0 9.6
 12.0 10.0 12.0 10.4 12.0 13.6 12.0 9.8 12.0 13.7 12.0 17.6 12.0 9.1 12.0 18.0 12.0 13.2 12.0 11.9 12.0 11.0 12.0 10.7 12.0 12.3 12.0 12.3 12.0 10.9 12.0 9.7 12.0 9.7 12.0 9.6 12.0 10.8 12.0 10.4 12.0 9.5 12.0 10.0 12.0 10.6 12.0 9.9 12.0 8.1 12.0 9.6 12.0 10.7
 14.0 24.7 14.0 29.6 14.0 30.2 14.0 28.6 14.0 35.8 14.0 35.1 14.0 38.3 14.0 28.3 14.0 43.4 14.0 29.0 14.0 30.0 14.0 28.0 14.0 29.6 14.0 24.7 14.0 25.2 14.0 23.7 14.0 24.0 14.0 23.9 14.0 25.3 14.0 26.7 14.0 22.2 14.0 23.6 14.0 26.4 14.0 23.7 14.0 20.4 14.0 24.0 14.0 26.5
 16.0 38.5 16.0 45.2 16.0 51.2 16.0 49.4 16.0 57.0 16.0 61.6 16.0 73.7 16.0 44.3 16.0 58.9 16.0 48.4 16.0 47.7 16.0 40.4 16.0 42.9 16.0 37.6 16.0 40.3 16.0 35.0 16.0 34.5 16.0 37.2 16.0 31.1 16.0 43.4 16.0 33.5 16.0 36.4 16.0 39.3 16.0 48.1 16.0 38.9 16.0 40.1 16.0 34.9
 18.0 45.7 18.0 52.3 18.0 63.9 18.0 62.7 18.0 68.8 18.0 75.7 18.0 103.0 18.0 69.6 18.0 59.6 18.0 54.9 18.0 63.7 18.0 46.4 18.0 58.8 18.0 39.7 18.0 39.4 18.0 36.5 18.0 34.5 18.0 44.2 18.0 35.2 18.0 46.1 18.0 47.0 18.0 38.2 18.0 39.1 18.0 55.6 18.0 54.0 18.0 46.8 18.0 41.9
