jplg 74.0 jplg 75.0 jplg 76.0 jplg 77.0 jplg 78.0 jplg 79.0
 0.0 50.4 0.0 46.6 0.0 45.4 0.0 45.3 0.0 45.8 0.0 35.9
 2.0 28.9 2.0 24.8 2.0 25.5 2.0 27.4 2.0 27.2 2.0 19.1
 4.0 20.6 4.0 17.4 4.0 15.4 4.0 17.8 4.0 16.4 4.0 14.0
 6.0 21.6 6.0 17.8 6.0 15.8 6.0 15.0 6.0 12.8 6.0 13.9
 8.0 21.0 8.0 16.9 8.0 15.0 8.0 14.8 8.0 12.8 8.0 12.4
 10.0 19.9 10.0 17.7 10.0 18.1 10.0 14.5 10.0 13.1 10.0 13.0
 12.0 15.7 12.0 13.6 12.0 15.3 12.0 13.9 12.0 11.7 12.0 11.9
 14.0 24.3 14.0 24.1 14.0 25.4 14.0 28.9 14.0 22.2 14.0 25.8
 16.0 40.0 16.0 38.8 16.0 48.2 16.0 41.5 16.0 39.8 16.0 38.7
 18.0 49.2 18.0 46.3 18.0 71.5 18.0 56.1 18.0 47.6 18.0 50.3
 20.0 57.2 20.0 49.6 20.0 45.1 20.0 61.4 20.0 45.7 20.0 56.9
 22.0 58.9 22.0 52.8 22.0 47.3 22.0 49.1 22.0 41.6 22.0 42.4

