jplg 249.0 jplg 250.0 jplg 251.0 jplg 252.0 jplg 253.0
 0.0 34.6 0.0 26.8 0.0 32.1 0.0 24.3 0.0 18.6
 2.0 12.3 2.0 16.9 2.0 25.9 2.0 11.3 2.0 11.6
 4.0 8.7 4.0 11.2 4.0 25.6 4.0 7.3 4.0 9.4
 6.0 8.5 6.0 10.1 6.0 17.8 6.0 6.7 6.0 8.3
 8.0 8.6 8.0 10.0 8.0 7.4 8.0 7.1 8.0 8.2
 10.0 7.6 10.0 9.1 10.0 7.0 10.0 6.5 10.0 6.7
 12.0 7.4 12.0 7.8 12.0 7.2 12.0 6.0 12.0 6.6
 14.0 19.9 14.0 16.7 14.0 11.0 14.0 13.6 14.0 12.9
 16.0 23.9 16.0 18.1 16.0 20.0 16.0 20.6 16.0 17.0
 18.0 34.4 18.0 28.7 18.0 24.2 18.0 28.7 18.0 24.2
 20.0 42.5 20.0 37.6 20.0 25.4 20.0 25.7 20.0 29.2
 22.0 37.9 22.0 37.2 22.0 35.1 22.0 22.0 22.0 27.7

