DOY tec med
89.0 069.9 27.59
89.0 053.8 018.0
89.0 042.4 15.44
89.0 037.1 14.64
89.0 033.0 13.64
89.0 027.7 13.73
89.0 035.7 17.64
89.0 063.4 31.42
89.0 088.7 42.04
89.0 104.6 50.42
89.0 107.7 54.19
89.0 098.4 49.93
90.0 072.6 27.59
90.0 062.4 018.0
90.0 057.8 15.44
90.0 038.7 14.64
90.0 027.5 13.64
90.0 028.6 13.73
90.0 037.4 17.64
90.0 061.7 31.42
90.0 082.0 42.04
90.0 102.1 50.42
90.0 123.4 54.19
90.0 101.8 49.93
91.0 063.9 27.59
91.0 043.8 018.0
91.0 033.2 15.44
91.0 028.8 14.64
91.0 026.2 13.64
91.0 018.8 13.73
91.0 025.6 17.64
91.0 069.5 31.42
91.0 087.8 42.04
91.0 099.1 50.42
91.0 102.9 54.19
91.0 095.0 49.93
92.0 074.5 27.59
92.0 052.1 018.0
92.0 037.2 15.44
92.0 033.6 14.64
92.0 028.8 13.64
92.0 025.6 13.73
92.0 038.8 17.64
92.0 073.1 31.42
92.0 095.3 42.04
92.0 110.3 50.42
92.0 111.2 54.19
92.0 103.0 49.93
93.0 077.0 27.59
93.0 060.4 018.0
93.0 051.7 15.44
93.0 039.0 14.64
93.0 033.3 13.64
93.0 026.9 13.73
93.0 032.3 17.64
93.0 061.5 31.42
93.0 084.9 42.04
93.0 102.3 50.42
93.0 105.7 54.19
93.0 095.1 49.93
